split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,243,1831,1406208,33502,4824288,6230496
train,244,1150,883200,19359,2787696,3670896
train,245,1376,1056768,24084,3468096,4524864
train,246,1329,1020672,23038,3317472,4338144
train,247,1680,1290240,30360,4371840,5662080
train,248,1123,862464,18803,2707632,3570096
train,249,1242,953856,21270,3062880,4016736
train,250,1042,800256,17077,2459088,3259344
train,251,1207,926976,20497,2951568,3878544
train,252,1146,880128,19285,2777040,3657168
train,253,1145,879360,19266,2774304,3653664
train,254,1228,943104,20954,3017376,3960480
train,255,1115,856320,18619,2681136,3537456
train,256,1354,1039872,23582,3395808,4435680
train,257,1109,851712,18483,2661552,3513264
train,258,1290,990720,22249,3203856,4194576
train,259,1024,786432,16735,2409840,3196272
train,260,1164,893952,19624,2825856,3719808
train,261,1453,1115904,25623,3689712,4805616
train,262,1021,784128,16679,2401776,3185904
train,263,1398,1073664,24533,3532752,4606416
train,264,1406,1079808,24682,3554208,4634016
train,265,1195,917760,20245,2915280,3833040
train,266,1182,907776,19979,2876976,3784752
train,267,1260,967680,21690,3123360,4091040
train,268,1080,829440,17849,2570256,3399696
train,269,1379,1059072,24154,3478176,4537248
train,270,1259,966912,21666,3119904,4086816
train,271,1151,883968,19378,2790432,3674400
train,272,1246,956928,21362,3076128,4033056
train,273,1143,877824,19230,2769120,3646944
train,274,1225,940800,20887,3007728,3948528
train,275,1059,813312,17414,2507616,3320928
train,276,1100,844800,18282,2632608,3477408
train,277,1174,901632,19820,2854080,3755712
train,278,1125,864000,18850,2714400,3578400
train,279,1438,1104384,25311,3644784,4749168
train,280,1177,903936,19879,2862576,3766512
train,281,1171,899328,19760,2845440,3744768
train,282,1088,835584,18020,2594880,3430464
train,283,1146,880128,19285,2777040,3657168
train,284,1304,1001472,22524,3243456,4244928
train,285,1151,883968,19378,2790432,3674400
train,286,1111,853248,18528,2668032,3521280
train,287,1053,808704,17293,2490192,3298896
train,288,1072,823296,17681,2546064,3369360
train,289,1095,840960,18172,2616768,3457728
train,290,1210,929280,20561,2960784,3890064
train,291,1209,928512,20539,2957616,3886128
train,292,1081,830208,17870,2573280,3403488
train,293,1086,834048,17977,2588688,3422736
train,294,1403,1077504,24626,3546144,4623648
train,295,1338,1027584,23231,3345264,4372848
train,296,1150,883200,19359,2787696,3670896
train,297,1097,842496,18216,2623104,3465600
train,298,1008,774144,16432,2366208,3140352
train,299,1026,787968,16772,2415168,3203136
train,300,1084,832512,17934,2582496,3415008
train,301,1172,900096,19780,2848320,3748416
train,302,1127,865536,18896,2721024,3586560
train,303,1242,953856,21270,3062880,4016736
train,304,1263,969984,21744,3131136,4101120
train,305,1251,960768,21478,3092832,4053600
train,306,1143,877824,19230,2769120,3646944
train,307,1296,995328,22366,3220704,4216032
train,308,1178,904704,19899,2865456,3770160
train,309,1257,965376,21619,3113136,4078512
train,310,1066,818688,17557,2528208,3346896
train,311,1205,925440,20454,2945376,3870816
train,312,1014,778752,16551,2383344,3162096
train,313,1139,874752,19157,2758608,3633360
train,314,1314,1009152,22726,3272544,4281696
train,315,1142,877056,19211,2766384,3643440
train,316,1140,875520,19175,2761200,3636720
train,317,1327,1019136,22996,3311424,4330560
train,318,1158,889344,19510,2809440,3698784
train,319,1184,909312,20019,2882736,3792048
train,320,1221,937728,20799,2995056,3932784
train,321,1017,781056,16606,2391264,3172320
train,322,1322,1015296,22891,3296304,4311600
train,323,1083,831744,17913,2579472,3411216
train,324,1333,1023744,23123,3329712,4353456
train,325,1186,910848,20060,2888640,3799488
train,326,1355,1040640,23604,3398976,4439616
train,327,1231,945408,21021,3027024,3972432
train,328,1238,950784,21179,3049776,4000560
train,329,1127,865536,18896,2721024,3586560
train,330,1311,1006848,22665,3263760,4270608
train,331,1681,1291008,30380,4374720,5665728
train,332,1542,1184256,27499,3959856,5144112
train,333,1451,1114368,25581,3683664,4798032
train,334,1289,989952,22230,3201120,4191072
train,335,1334,1024512,23145,3332880,4357392
train,336,1106,849408,18415,2651760,3501168
train,337,1109,851712,18483,2661552,3513264
train,338,1226,941568,20909,3010896,3952464
train,339,1259,966912,21666,3119904,4086816
train,340,1395,1071360,24477,3524688,4596048
train,341,1152,884736,19396,2793024,3677760
train,342,1103,847104,18348,2642112,3489216
train,343,1163,893184,19605,2823120,3716304
train,344,1235,948480,21111,3039984,3988464
train,345,1401,1075968,24588,3540672,4616640
train,346,1055,810240,17333,2495952,3306192
train,347,1118,858624,18688,2691072,3549696
train,348,1376,1056768,24084,3468096,4524864
train,349,1140,875520,19175,2761200,3636720
train,350,1262,969216,21726,3128544,4097760
train,351,1104,847872,18371,2645424,3493296
train,352,2313,1776384,43549,6271056,8047440
train,353,1178,904704,19899,2865456,3770160
train,354,1037,796416,16981,2445264,3241680
train,355,1381,1060608,24201,3484944,4545552
train,356,1202,923136,20391,2936304,3859440
train,357,1047,804096,17175,2473200,3277296
train,358,1251,960768,21478,3092832,4053600
train,359,1297,996096,22385,3223440,4219536
train,360,1339,1028352,23252,3348288,4376640
train,361,1096,841728,18194,2619936,3461664
train,362,1325,1017600,22954,3305376,4322976
train,363,1357,1042176,23649,3405456,4447632
train,364,1497,1149696,26596,3829824,4979520
train,365,1337,1026816,23209,3342096,4368912
train,366,1101,845568,18304,2635776,3481344
train,367,1181,907008,19959,2874096,3781104
train,368,1136,872448,19103,2750832,3623280
train,369,1043,801024,17096,2461824,3262848
train,370,1838,1411584,33652,4845888,6257472
train,371,1038,797184,17000,2448000,3245184
train,372,1277,980736,22002,3168288,4149024
train,373,1164,893952,19624,2825856,3719808
