[I 2024-11-12 17:49:53,860] Using an existing study with name 'R8-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-12 21:43:33,890] Trial 216 finished with value: 0.9520075824119085 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7982226930369812, 'batch_size': 112, 'attention_heads': 13, 'hidden_dimension': 91, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5924638447093598, 'global_pooling': 'max', 'learning_rate': 0.00014463451093024227, 'weight_decay': 1.8010641270307508e-05, 'beta_0': 0.8401142738434207, 'beta_1': 0.9898485685852187, 'epsilon': 2.049870450164807e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 21:55:19,214] Trial 217 finished with value: 0.9479959659216868 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8041666656216707, 'batch_size': 105, 'attention_heads': 13, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5988517255684288, 'global_pooling': 'max', 'learning_rate': 0.0002198989255369311, 'weight_decay': 1.4562543078211008e-05, 'beta_0': 0.8422681189172919, 'beta_1': 0.991082705600911, 'epsilon': 2.20759396282335e-06, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 22:06:07,347] Trial 218 finished with value: 0.9457315854375485 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7933588218538523, 'batch_size': 113, 'attention_heads': 13, 'hidden_dimension': 71, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5998068597142314, 'global_pooling': 'max', 'learning_rate': 0.00016041790177305718, 'weight_decay': 2.2051596503056066e-05, 'beta_0': 0.8391881923073891, 'beta_1': 0.9898758703146039, 'epsilon': 2.80436023740265e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 22:16:45,662] Trial 219 finished with value: 0.9498437477563622 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8034430069738533, 'batch_size': 136, 'attention_heads': 13, 'hidden_dimension': 67, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5929239519424389, 'global_pooling': 'max', 'learning_rate': 0.00013173181811569875, 'weight_decay': 1.6444971094012543e-05, 'beta_0': 0.844206668531511, 'beta_1': 0.990765198422236, 'epsilon': 1.7673144002505614e-06, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 22:26:46,763] Trial 220 finished with value: 0.9391889096719606 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7881605050756534, 'batch_size': 121, 'attention_heads': 13, 'hidden_dimension': 77, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5872012559919919, 'global_pooling': 'sum', 'learning_rate': 0.00019001811280056172, 'weight_decay': 1.3162865194350343e-05, 'beta_0': 0.8406878984199907, 'beta_1': 0.9895735511925784, 'epsilon': 2.089067114625196e-06, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 22:37:59,047] Trial 221 finished with value: 0.9536650459566839 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.79774534953324, 'batch_size': 118, 'attention_heads': 13, 'hidden_dimension': 86, 'number_of_hidden_layers': 3, 'dropout_rate': 0.590379438412214, 'global_pooling': 'max', 'learning_rate': 0.00017611570310870837, 'weight_decay': 1.5235693445853967e-05, 'beta_0': 0.8446379006169896, 'beta_1': 0.9916304247421113, 'epsilon': 3.3484657850345662e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 22:47:37,069] Trial 222 finished with value: 0.9540283375318651 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8083131646700061, 'batch_size': 126, 'attention_heads': 12, 'hidden_dimension': 73, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5915812847857833, 'global_pooling': 'max', 'learning_rate': 0.000225097857520123, 'weight_decay': 2.0285028621629653e-05, 'beta_0': 0.8387074007902199, 'beta_1': 0.9903860139220007, 'epsilon': 2.5607900716932497e-06, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 22:57:23,243] Trial 223 finished with value: 0.9511040380174118 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8084403745708733, 'batch_size': 123, 'attention_heads': 12, 'hidden_dimension': 69, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5867607926043991, 'global_pooling': 'max', 'learning_rate': 0.00021969645422153958, 'weight_decay': 2.0417655236942962e-05, 'beta_0': 0.8382913698119683, 'beta_1': 0.9903744647300209, 'epsilon': 6.714781452961245e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 23:08:02,667] Trial 224 finished with value: 0.9534802329924237 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8148896149951614, 'batch_size': 127, 'attention_heads': 12, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5998001856645687, 'global_pooling': 'max', 'learning_rate': 0.00013490728921717736, 'weight_decay': 1.7021879639675558e-05, 'beta_0': 0.8412302064650643, 'beta_1': 0.9903362619050629, 'epsilon': 2.637452056853354e-06, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 23:19:26,818] Trial 225 finished with value: 0.9554455747446416 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8031287644107178, 'batch_size': 106, 'attention_heads': 14, 'hidden_dimension': 71, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5937304867757394, 'global_pooling': 'max', 'learning_rate': 0.00015921522061022227, 'weight_decay': 2.0330418405732055e-05, 'beta_0': 0.8425142374183899, 'beta_1': 0.9900549567331466, 'epsilon': 3.918067421973985e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 23:30:18,713] Trial 226 finished with value: 0.9577992483328124 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.790738602667258, 'batch_size': 103, 'attention_heads': 13, 'hidden_dimension': 65, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5929001771795753, 'global_pooling': 'max', 'learning_rate': 0.00015733245962251774, 'weight_decay': 2.08054517020692e-05, 'beta_0': 0.8427161871077984, 'beta_1': 0.9897928113933243, 'epsilon': 4.646822535754671e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 23:41:32,987] Trial 227 finished with value: 0.9526570391819453 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7804494958593685, 'batch_size': 93, 'attention_heads': 13, 'hidden_dimension': 67, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5865016186463251, 'global_pooling': 'max', 'learning_rate': 0.00015295281921979458, 'weight_decay': 2.8414748641958907e-05, 'beta_0': 0.8432099139872541, 'beta_1': 0.9897645538176316, 'epsilon': 3.855551496462094e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 23:52:30,838] Trial 228 finished with value: 0.9533194776661648 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7913900188822244, 'batch_size': 103, 'attention_heads': 13, 'hidden_dimension': 65, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5999649101779964, 'global_pooling': 'max', 'learning_rate': 0.00013358429002349113, 'weight_decay': 2.196681089594828e-05, 'beta_0': 0.8484001712765178, 'beta_1': 0.9900323947186975, 'epsilon': 4.979989977807201e-06, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-13 00:03:34,419] Trial 229 finished with value: 0.9493608945920164 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7936272486068876, 'batch_size': 101, 'attention_heads': 14, 'hidden_dimension': 71, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5838893799775627, 'global_pooling': 'max', 'learning_rate': 0.00010511387927289903, 'weight_decay': 1.9237559665236795e-05, 'beta_0': 0.8452213693612897, 'beta_1': 0.9891781418725419, 'epsilon': 4.2545097274461576e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 205 with value: 0.9619576531312704.
