[I 2025-04-04 00:01:17,417] Using an existing study with name 'R8-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1136 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-04 07:10:33,931] Trial 176 finished with value: 0.9589534374567938 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 179, 'attention_heads': 14, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5779949590318424, 'global_pooling': 'mean', 'learning_rate': 9.707423590076756e-05, 'weight_decay': 9.426879044410771e-06, 'beta_0': 0.81352528364084, 'beta_1': 0.9940539404385841, 'epsilon': 7.936989607863637e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 07:31:54,107] Trial 177 finished with value: 0.9407898599366865 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 161, 'attention_heads': 14, 'hidden_dimension': 187, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5107502968440619, 'global_pooling': 'mean', 'learning_rate': 4.611340804203767e-05, 'weight_decay': 1.1418535146900973e-05, 'beta_0': 0.8089614120973032, 'beta_1': 0.9949376942210468, 'epsilon': 4.2230541732212925e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 07:49:14,661] Trial 178 finished with value: 0.9688491554123403 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 165, 'attention_heads': 13, 'hidden_dimension': 208, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5853343371886747, 'global_pooling': 'mean', 'learning_rate': 0.00012559407959525322, 'weight_decay': 1.5360110054618907e-05, 'beta_0': 0.8055832548285644, 'beta_1': 0.9954654656980764, 'epsilon': 5.312063992299259e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 08:06:47,288] Trial 179 finished with value: 0.9699642765817866 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 155, 'attention_heads': 13, 'hidden_dimension': 199, 'number_of_hidden_layers': 3, 'dropout_rate': 0.589494504881022, 'global_pooling': 'mean', 'learning_rate': 0.00013014717329891122, 'weight_decay': 1.72558936396267e-05, 'beta_0': 0.8008943848504081, 'beta_1': 0.9956020549186783, 'epsilon': 5.163019867532102e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 08:22:16,932] Trial 180 finished with value: 0.9667897185291797 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 163, 'attention_heads': 13, 'hidden_dimension': 200, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5858810766693863, 'global_pooling': 'mean', 'learning_rate': 0.00014346298493642912, 'weight_decay': 1.6552443723070423e-05, 'beta_0': 0.8062093221171842, 'beta_1': 0.995081948055243, 'epsilon': 5.260376453855751e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 08:41:41,170] Trial 181 finished with value: 0.9692507288235959 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 2, 'batch_size': 170, 'attention_heads': 13, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5895609495020843, 'global_pooling': 'mean', 'learning_rate': 8.772632853420511e-05, 'weight_decay': 1.9480241115240526e-05, 'beta_0': 0.8011888646406252, 'beta_1': 0.9961969471589099, 'epsilon': 3.5151416978284943e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 08:56:45,474] Trial 182 finished with value: 0.9632944471565392 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 2, 'batch_size': 155, 'attention_heads': 13, 'hidden_dimension': 192, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5877844865853108, 'global_pooling': 'mean', 'learning_rate': 8.524928207147525e-05, 'weight_decay': 2.328749270064278e-05, 'beta_0': 0.800199492805335, 'beta_1': 0.996206412839346, 'epsilon': 3.917250850962653e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 09:15:11,639] Trial 183 finished with value: 0.9608097209717773 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 168, 'attention_heads': 13, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5941614526699612, 'global_pooling': 'mean', 'learning_rate': 0.00012687981962317263, 'weight_decay': 1.9097696516804712e-05, 'beta_0': 0.8022978205059129, 'beta_1': 0.9957121096601671, 'epsilon': 2.902100088037908e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 09:33:24,014] Trial 184 finished with value: 0.9522082866781609 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 155, 'attention_heads': 12, 'hidden_dimension': 203, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5730304661922342, 'global_pooling': 'mean', 'learning_rate': 7.369293054920667e-05, 'weight_decay': 1.915734808622958e-05, 'beta_0': 0.8001175199905021, 'beta_1': 0.9963218003236387, 'epsilon': 3.3085421238605137e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 09:48:53,604] Trial 185 finished with value: 0.9665940616862639 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 2, 'batch_size': 174, 'attention_heads': 12, 'hidden_dimension': 198, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5790949642642493, 'global_pooling': 'mean', 'learning_rate': 0.00010778264411083321, 'weight_decay': 1.3068303659544677e-05, 'beta_0': 0.811591706524593, 'beta_1': 0.9943170234121638, 'epsilon': 7.188630681782947e-07, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
