split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,386,590,604160,12068,2317056,2921216
train,387,590,604160,10582,2031744,2635904
train,388,515,527360,9173,1761216,2288576
train,389,573,586752,10332,1983744,2570496
train,390,546,559104,11189,2148288,2707392
train,391,447,457728,7695,1477440,1935168
train,392,502,514048,9331,1791552,2305600
train,393,605,619520,12430,2386560,3006080
train,394,576,589824,11558,2219136,2808960
train,395,405,414720,6337,1216704,1631424
train,396,497,508928,9311,1787712,2296640
train,397,533,545792,10578,2030976,2576768
train,398,451,461824,7372,1415424,1877248
train,399,627,642048,12161,2334912,2976960
train,400,483,494592,7787,1495104,1989696
train,401,558,571392,10699,2054208,2625600
train,402,488,499712,9237,1773504,2273216
train,403,476,487424,7546,1448832,1936256
train,404,367,375808,5224,1003008,1378816
train,405,407,416768,6425,1233600,1650368
train,406,452,462848,7349,1411008,1873856
train,407,563,576512,10849,2083008,2659520
train,408,470,481280,8236,1581312,2062592
train,409,526,538624,9353,1795776,2334400
train,410,540,552960,9800,1881600,2434560
train,411,590,604160,10793,2072256,2676416
train,412,581,594944,10549,2025408,2620352
train,413,499,510976,9353,1795776,2306752
train,414,558,571392,9694,1861248,2432640
train,415,521,533504,9651,1852992,2386496
train,416,530,542720,9628,1848576,2391296
train,417,559,572416,10356,1988352,2560768
train,418,559,572416,9657,1854144,2426560
train,419,500,512000,8352,1603584,2115584
train,420,796,815104,15583,2991936,3807040
train,421,444,454656,7538,1447296,1901952
train,422,425,435200,7006,1345152,1780352
train,423,649,664576,12877,2472384,3136960
train,424,506,518144,9168,1760256,2278400
train,425,500,512000,8390,1610880,2122880
train,426,423,433152,6361,1221312,1654464
train,427,545,558080,9343,1793856,2351936
train,428,489,500736,8157,1566144,2066880
train,429,516,528384,10163,1951296,2479680
train,430,447,457728,7165,1375680,1833408
train,431,569,582656,9975,1915200,2497856
train,432,477,488448,8590,1649280,2137728
train,433,522,534528,10006,1921152,2455680
train,434,516,528384,8682,1666944,2195328
train,435,524,536576,9576,1838592,2375168
train,436,512,524288,8786,1686912,2211200
train,437,574,587776,11608,2228736,2816512
train,438,566,579584,9678,1858176,2437760
train,439,546,559104,10799,2073408,2632512
train,440,522,534528,8739,1677888,2212416
train,441,549,562176,11009,2113728,2675904
train,442,471,482304,7577,1454784,1937088
train,443,558,571392,10038,1927296,2498688
train,444,507,519168,8816,1692672,2211840
train,445,443,453632,7530,1445760,1899392
train,446,542,555008,9051,1737792,2292800
train,447,505,517120,9769,1875648,2392768
train,448,553,566272,10742,2062464,2628736
train,449,575,588800,11147,2140224,2729024
train,450,544,557056,9794,1880448,2437504
train,451,683,699392,13381,2569152,3268544
train,452,523,535552,9308,1787136,2322688
train,453,534,546816,9191,1764672,2311488
train,454,556,569344,10917,2096064,2665408
train,455,516,528384,8763,1682496,2210880
train,456,492,503808,8759,1681728,2185536
train,457,460,471040,7505,1440960,1912000
train,458,432,442368,7239,1389888,1832256
train,459,478,489472,7715,1481280,1970752
train,460,559,572416,10082,1935744,2508160
train,461,572,585728,10010,1921920,2507648
train,462,518,530432,8470,1626240,2156672
train,463,468,479232,8117,1558464,2037696
train,464,516,528384,8987,1725504,2253888
train,465,503,515072,8782,1686144,2201216
train,466,556,569344,10018,1923456,2492800
train,467,460,471040,7703,1478976,1950016
train,468,516,528384,9452,1814784,2343168
train,469,453,463872,7150,1372800,1836672
train,470,498,509952,8875,1704000,2213952
train,471,499,510976,8994,1726848,2237824
train,472,515,527360,8674,1665408,2192768
train,473,450,460800,7854,1507968,1968768
train,474,455,465920,7169,1376448,1842368
train,475,465,476160,8387,1610304,2086464
train,476,589,603136,11823,2270016,2873152
train,477,591,605184,11788,2263296,2868480
train,478,510,522240,9241,1774272,2296512
train,479,565,578560,10199,1958208,2536768
train,480,540,552960,9306,1786752,2339712
train,481,560,573440,10106,1940352,2513792
train,482,513,525312,7895,1515840,2041152
train,483,639,654336,12683,2435136,3089472
train,484,430,440320,7172,1377024,1817344
train,485,584,598016,10513,2018496,2616512
train,486,498,509952,9177,1761984,2271936
train,487,539,551936,10432,2002944,2554880
train,488,513,525312,8953,1718976,2244288
train,489,429,439296,7138,1370496,1809792
train,490,452,462848,6914,1327488,1790336
train,491,397,406528,6113,1173696,1580224
train,492,645,660480,12400,2380800,3041280
train,493,511,523264,8546,1640832,2164096
train,494,523,535552,8957,1719744,2255296
train,495,566,579584,10308,1979136,2558720
train,496,615,629760,11856,2276352,2906112
train,497,422,432128,6668,1280256,1712384
train,498,531,543744,10804,2074368,2618112
train,499,647,662528,13188,2532096,3194624
validation,0,606,620544,11364,2181888,2802432
validation,1,443,453632,7436,1427712,1881344
validation,2,448,458752,7785,1494720,1953472
validation,3,517,529408,8697,1669824,2199232
validation,4,462,473088,7895,1515840,1988928
validation,5,473,484352,7451,1430592,1914944
validation,6,456,466944,6652,1277184,1744128
validation,7,598,612352,11876,2280192,2892544
validation,8,472,483328,8266,1587072,2070400
validation,9,472,483328,8212,1576704,2060032
validation,10,487,498688,7935,1523520,2022208
validation,11,587,601088,11378,2184576,2785664
validation,12,460,471040,7984,1532928,2003968
validation,13,466,477184,8423,1617216,2094400
validation,14,367,375808,4378,840576,1216384
validation,15,525,537600,8878,1704576,2242176
validation,16,519,531456,8647,1660224,2191680
validation,17,454,464896,7995,1535040,1999936
validation,18,448,458752,7785,1494720,1953472
validation,19,509,521216,8825,1694400,2215616
validation,20,486,497664,8188,1572096,2069760
validation,21,515,527360,9770,1875840,2403200
validation,22,436,446464,6906,1325952,1772416
validation,23,500,512000,8051,1545792,2057792
validation,24,496,507904,9037,1735104,2243008
validation,25,482,493568,7867,1510464,2004032
validation,26,610,624640,11663,2239296,2863936
validation,27,614,628736,11982,2300544,2929280
validation,28,643,658432,12525,2404800,3063232
validation,29,518,530432,8732,1676544,2206976
validation,30,508,520192,8377,1608384,2128576
validation,31,572,585728,11022,2116224,2701952
validation,32,510,522240,9720,1866240,2388480
validation,33,513,525312,9349,1795008,2320320
validation,34,507,519168,9970,1914240,2433408
validation,35,573,586752,10165,1951680,2538432
validation,36,446,456704,7715,1481280,1937984
validation,37,476,487424,7854,1507968,1995392
validation,38,510,522240,10088,1936896,2459136
validation,39,685,701440,14624,2807808,3509248
validation,40,542,555008,9680,1858560,2413568
validation,41,568,581632,10019,1923648,2505280
validation,42,465,476160,7971,1530432,2006592
validation,43,471,482304,7862,1509504,1991808
validation,44,497,508928,9581,1839552,2348480
validation,45,475,486400,8751,1680192,2166592
validation,46,466,477184,7263,1394496,1871680
validation,47,519,531456,8927,1713984,2245440
validation,48,425,435200,7006,1345152,1780352
validation,49,508,520192,10009,1921728,2441920
validation,50,625,640000,11902,2285184,2925184
validation,51,588,602112,11321,2173632,2775744
validation,52,648,663552,12562,2411904,3075456
validation,53,398,407552,5983,1148736,1556288
validation,54,478,489472,8522,1636224,2125696
validation,55,530,542720,9650,1852800,2395520
validation,56,450,460800,7230,1388160,1848960
validation,57,520,532480,9769,1875648,2408128
validation,58,579,592896,12447,2389824,2982720
validation,59,500,512000,7980,1532160,2044160
validation,60,529,541696,9639,1850688,2392384
validation,61,481,492544,8913,1711296,2203840
validation,62,615,629760,11291,2167872,2797632
validation,63,526,538624,9348,1794816,2333440
validation,64,622,636928,12309,2363328,3000256
validation,65,566,579584,10284,1974528,2554112
validation,66,545,558080,9714,1865088,2423168
validation,67,477,488448,7785,1494720,1983168
validation,68,603,617472,11134,2137728,2755200
validation,69,549,562176,10343,1985856,2548032
validation,70,647,662528,13178,2530176,3192704
validation,71,405,414720,6362,1221504,1636224
validation,72,432,442368,7239,1389888,1832256
validation,73,518,530432,8637,1658304,2188736
validation,74,497,508928,9581,1839552,2348480
validation,75,619,633856,11595,2226240,2860096
validation,76,550,563200,9507,1825344,2388544
validation,77,474,485376,8308,1595136,2080512
validation,78,566,579584,11131,2137152,2716736
validation,79,501,513024,8664,1663488,2176512
validation,80,505,517120,9514,1826688,2343808
validation,81,507,519168,8539,1639488,2158656
validation,82,554,567296,9984,1916928,2484224
validation,83,555,568320,11775,2260800,2829120
validation,84,505,517120,9891,1899072,2416192
validation,85,521,533504,10093,1937856,2471360
validation,86,571,584704,9985,1917120,2501824
validation,87,546,559104,10911,2094912,2654016
validation,88,482,493568,9011,1730112,2223680
validation,89,473,484352,7507,1441344,1925696
validation,90,634,649216,12739,2445888,3095104
validation,91,511,523264,8501,1632192,2155456
validation,92,503,515072,8846,1698432,2213504
validation,93,495,506880,9045,1736640,2243520
validation,94,649,664576,12935,2483520,3148096
validation,95,512,524288,9739,1869888,2394176
validation,96,555,568320,9784,1878528,2446848
validation,97,420,430080,6718,1289856,1719936
validation,98,485,496640,8137,1562304,2058944
validation,99,485,496640,9033,1734336,2230976
validation,100,582,595968,11077,2126784,2722752
validation,101,467,478208,7191,1380672,1858880
validation,102,483,494592,8737,1677504,2172096
validation,103,519,531456,10447,2005824,2537280
validation,104,499,510976,8337,1600704,2111680
validation,105,451,461824,7262,1394304,1856128
validation,106,506,518144,9931,1906752,2424896
validation,107,577,590848,10731,2060352,2651200
validation,108,539,551936,9833,1887936,2439872
validation,109,402,411648,6221,1194432,1606080
validation,110,430,440320,7172,1377024,1817344
validation,111,450,460800,7854,1507968,1968768
validation,112,529,541696,8984,1724928,2266624
validation,113,463,474112,8315,1596480,2070592
validation,114,598,612352,11492,2206464,2818816
validation,115,551,564224,9993,1918656,2482880
validation,116,509,521216,9234,1772928,2294144
validation,117,515,527360,8609,1652928,2180288
validation,118,370,378880,5310,1019520,1398400
validation,119,544,557056,10022,1924224,2481280
validation,120,499,510976,9475,1819200,2330176
validation,121,593,607232,10913,2095296,2702528
validation,122,469,480256,7460,1432320,1912576
validation,123,422,432128,6198,1190016,1622144
validation,124,565,578560,10237,1965504,2544064
validation,125,494,505856,9034,1734528,2240384
validation,126,641,656384,12717,2441664,3098048
validation,127,535,547840,8759,1681728,2229568
validation,128,472,483328,8527,1637184,2120512
validation,129,522,534528,9086,1744512,2279040
validation,130,451,461824,7889,1514688,1976512
validation,131,563,576512,10667,2048064,2624576
validation,132,469,480256,8130,1560960,2041216
validation,133,551,564224,9765,1874880,2439104
validation,134,492,503808,9004,1728768,2232576
validation,135,602,616448,10970,2106240,2722688
validation,136,508,520192,9759,1873728,2393920
validation,137,464,475136,8129,1560768,2035904
validation,138,588,602112,11217,2153664,2755776
validation,139,605,619520,11603,2227776,2847296
validation,140,570,583680,10532,2022144,2605824
validation,141,424,434176,6365,1222080,1656256
validation,142,559,572416,10088,1936896,2509312
validation,143,417,427008,6745,1295040,1722048
validation,144,568,581632,10031,1925952,2507584
validation,145,429,439296,6515,1250880,1690176
validation,146,609,623616,12000,2304000,2927616
validation,147,552,565248,11059,2123328,2688576
validation,148,501,513024,9164,1759488,2272512
validation,149,482,493568,8661,1662912,2156480
validation,150,492,503808,8927,1713984,2217792
validation,151,481,492544,8974,1723008,2215552
validation,152,541,553984,8710,1672320,2226304
validation,153,536,548864,9440,1812480,2361344
validation,154,531,543744,9306,1786752,2330496
validation,155,413,422912,6616,1270272,1693184
validation,156,448,458752,7068,1357056,1815808
validation,157,552,565248,9625,1848000,2413248
validation,158,601,615424,12863,2469696,3085120
validation,159,397,406528,6113,1173696,1580224
validation,160,466,477184,8366,1606272,2083456
validation,161,478,489472,8689,1668288,2157760
validation,162,527,539648,10195,1957440,2497088
validation,163,492,503808,8768,1683456,2187264
validation,164,533,545792,9917,1904064,2449856
test,0,531,543744,9236,1773312,2317056
test,1,525,537600,9813,1884096,2421696
test,2,628,643072,12449,2390208,3033280
test,3,419,429056,6546,1256832,1685888
test,4,563,576512,10489,2013888,2590400
test,5,570,583680,10254,1968768,2552448
test,6,460,471040,7305,1402560,1873600
test,7,504,516096,9821,1885632,2401728
test,8,553,566272,10300,1977600,2543872
test,9,463,474112,7846,1506432,1980544
test,10,513,525312,8136,1562112,2087424
test,11,577,590848,11590,2225280,2816128
test,12,627,642048,12161,2334912,2976960
test,13,468,479232,7058,1355136,1834368
test,14,527,539648,9144,1755648,2295296
test,15,602,616448,10817,2076864,2693312
test,16,553,566272,11143,2139456,2705728
test,17,504,516096,8333,1599936,2116032
test,18,529,541696,9778,1877376,2419072
test,19,548,561152,11613,2229696,2790848
