dataset,index,split,LLM,approach,left_stride,right_stride,threshold,time,nodes,edges,density
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.95,0.19589018821716309,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.95,0.19273662567138672,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.7,0.44859743118286133,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.7,0.44742655754089355,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.7,0.45276403427124023,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.85,0.4481849670410156,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.85,0.44687914848327637,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.85,0.45458006858825684,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.95,0.4475827217102051,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.95,0.4477214813232422,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,64,0.95,0.4466545581817627,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.7,0.45204782485961914,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.7,0.448153018951416,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.7,0.4477565288543701,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.85,0.44731831550598145,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.85,0.44589734077453613,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.85,0.44817614555358887,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.95,0.44588136672973633,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.95,0.4458739757537842,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,64,128,0.95,0.44993114471435547,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.7,0.4536130428314209,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.7,0.44904613494873047,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.7,0.44733643531799316,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.85,0.4472677707672119,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.85,0.446943998336792,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.85,0.4475984573364258,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.95,0.4456501007080078,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.95,0.44920897483825684,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,64,0.95,0.4493529796600342,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.7,0.4516408443450928,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.7,0.44745969772338867,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.7,0.4471423625946045,350,36750,0.3
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.85,0.4477195739746094,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.85,0.44848012924194336,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.85,0.44841575622558594,350,18375,0.15
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.95,0.4461939334869385,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.95,0.44594764709472656,350,6125,0.05
Ohsumed,3419,test,FacebookAI/roberta-large,Surrogate,128,128,0.95,0.44691920280456543,350,6125,0.05
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.7,0.10666918754577637,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.7,0.09369993209838867,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.7,0.09081459045410156,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.85,0.09082484245300293,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.85,0.09088897705078125,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.85,0.09103798866271973,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.95,0.09125089645385742,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.95,0.09206485748291016,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,64,0.95,0.09180688858032227,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.7,0.0918893814086914,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.7,0.0973215103149414,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.7,0.09162640571594238,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.85,0.09157586097717285,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.85,0.09123921394348145,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.85,0.09117984771728516,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.95,0.10562276840209961,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.95,0.09215283393859863,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,64,128,0.95,0.09189867973327637,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.7,0.09196257591247559,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.7,0.0976259708404541,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.7,0.1065833568572998,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.85,0.09134316444396973,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.85,0.09171366691589355,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.85,0.09131193161010742,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.95,0.09107351303100586,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.95,0.09185647964477539,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,64,0.95,0.09154510498046875,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.7,0.0923302173614502,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.7,0.09863138198852539,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.7,0.09162616729736328,96,2765,0.3000217013888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.85,0.10701584815979004,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.85,0.0916752815246582,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.85,0.09111166000366211,96,1383,0.15006510416666666
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.95,0.0912320613861084,96,461,0.05002170138888889
