dataset,index,split,LLM,approach,left_stride,right_stride,threshold,time,nodes,edges,density
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.043828487396240234,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.043660879135131836,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.044237613677978516,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.04382658004760742,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.04370236396789551,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.04524970054626465,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.0470426082611084,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.04512977600097656,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.045230865478515625,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.04555940628051758,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.04473996162414551,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.04546046257019043,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.04570364952087402,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.04555916786193848,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.04555773735046387,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.04486536979675293,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.04574751853942871,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.045072317123413086,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.04551076889038086,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.045326948165893555,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.044919490814208984,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.045583248138427734,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.045934200286865234,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.04546236991882324,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.045337677001953125,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.7,0.04867887496948242,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.7,0.04551291465759277,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.7,0.045713186264038086,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.85,0.04517364501953125,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.85,0.044576406478881836,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.85,0.04535794258117676,87,1136,0.15008587660192893
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.95,0.04574131965637207,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.95,0.04527544975280762,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,128,128,0.95,0.044992685317993164,87,379,0.050072664817016777
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.7,0.05504488945007324,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.7,0.05543017387390137,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.7,0.05495452880859375,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.85,0.05567741394042969,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.85,0.055646657943725586,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.85,0.054975271224975586,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.95,0.055777788162231445,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.95,0.055063486099243164,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,64,0.95,0.0552668571472168,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.055474042892456055,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.05585813522338867,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.05560111999511719,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.05589461326599121,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.05536365509033203,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.055181026458740234,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.05546903610229492,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.05540966987609863,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.0549006462097168,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.05547142028808594,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.055626630783081055,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.05538058280944824,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.05513334274291992,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.055680274963378906,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.055563926696777344,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.05572676658630371,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.05569863319396973,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.05522561073303223,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.05552196502685547,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.055057525634765625,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.05584716796875,156,7301,0.30000821827744906
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.05532407760620117,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.0552828311920166,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.05529665946960449,156,3651,0.15002465483234714
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.95,0.05561208724975586,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.95,0.055376529693603516,156,1217,0.05000821827744905
Ohsumed,407,validation,google-bert/bert-base-uncased,Surrogate,128,128,0.95,0.0549471378326416,156,1217,0.05000821827744905
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.14431047439575195,190,9535,0.2641274238227147
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.14506316184997559,190,9535,0.2641274238227147
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.14545178413391113,190,9535,0.2641274238227147
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.14920878410339355,190,4768,0.13207756232686982
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.14507031440734863,190,4768,0.13207756232686982
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.1458139419555664,190,4768,0.13207756232686982
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.14647817611694336,190,1590,0.04404432132963989
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.14403653144836426,190,1590,0.04404432132963989
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.14511871337890625,190,1590,0.04404432132963989
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.14648008346557617,190,9629,0.2667313019390582
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.14491915702819824,190,9629,0.2667313019390582
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.14583826065063477,190,9629,0.2667313019390582
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.1465754508972168,190,4815,0.13337950138504154
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.14699459075927734,190,4815,0.13337950138504154
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.14634180068969727,190,4815,0.13337950138504154
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.14493656158447266,190,1605,0.04445983379501385
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.14660048484802246,190,1605,0.04445983379501385
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.15085411071777344,190,1605,0.04445983379501385
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.1464402675628662,190,9629,0.2667313019390582
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.1448969841003418,190,9629,0.2667313019390582
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.14527440071105957,190,9629,0.2667313019390582
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.14490056037902832,190,4815,0.13337950138504154
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.14658403396606445,190,4815,0.13337950138504154
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.14503741264343262,190,4815,0.13337950138504154
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.14655566215515137,190,1605,0.04445983379501385
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.14623737335205078,190,1605,0.04445983379501385
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.14621639251708984,190,1605,0.04445983379501385
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.7,0.14754533767700195,190,9785,0.2710526315789474
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.7,0.14774513244628906,190,9785,0.2710526315789474
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.7,0.15184378623962402,190,9785,0.2710526315789474
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.85,0.14615511894226074,190,4893,0.13554016620498616
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.85,0.14726614952087402,190,4893,0.13554016620498616
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.85,0.14765477180480957,190,4893,0.13554016620498616
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.95,0.14732027053833008,190,1631,0.04518005540166205
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.95,0.14738726615905762,190,1631,0.04518005540166205
Ohsumed,1146,test,google-bert/bert-base-uncased,Grouped,128,128,0.95,0.14700889587402344,190,1631,0.04518005540166205
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.7,0.360393762588501,648,94425,0.22487282807498857
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.7,0.3511826992034912,648,94425,0.22487282807498857
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.7,0.3498728275299072,648,94425,0.22487282807498857
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.85,0.42568111419677734,648,47213,0.11243760478585582
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.85,0.38403868675231934,648,47213,0.11243760478585582
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.85,0.3490898609161377,648,47213,0.11243760478585582
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.95,0.35114622116088867,648,15738,0.037479995427526294
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.95,0.34795403480529785,648,15738,0.037479995427526294
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,64,0.95,0.34803247451782227,648,15738,0.037479995427526294
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.3693368434906006,648,99724,0.23749237921048622
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.3620331287384033,648,99724,0.23749237921048622
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.44396162033081055,648,99724,0.23749237921048622
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.3605067729949951,648,49862,0.11874618960524311
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.3646252155303955,648,49862,0.11874618960524311
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.36438560485839844,648,49862,0.11874618960524311
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.4319145679473877,648,16621,0.03958285703398872
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.36142969131469727,648,16621,0.03958285703398872
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.36258482933044434,648,16621,0.03958285703398872
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.36110734939575195,648,99724,0.23749237921048622
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.3621981143951416,648,99724,0.23749237921048622
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.4427475929260254,648,99724,0.23749237921048622
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.3628048896789551,648,49862,0.11874618960524311
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.3685739040374756,648,49862,0.11874618960524311
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.3626744747161865,648,49862,0.11874618960524311
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.36221742630004883,648,16621,0.03958285703398872
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.36081409454345703,648,16621,0.03958285703398872
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.3624918460845947,648,16621,0.03958285703398872
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.4568026065826416,648,105023,0.25011193034598384
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.3787498474121094,648,105023,0.25011193034598384
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.37546849250793457,648,105023,0.25011193034598384
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.45752477645874023,648,52512,0.12505715592135344
Ohsumed,1146,test,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.3722364902496338,648,52512,0.12505715592135344
