ids,tokens,aggregated_weights
105,zel,8.241742e-14
129,ĠD,7.991995e-14
126,B,7.7144495e-14
381,Ġin,7.5812356e-14
45,Ġreminis,7.4168265e-14
383,Ġearlier,6.907378e-14
128,itta,6.4771105e-14
380,Ġfeatured,6.297134e-14
28,Ġpupp,6.0282955e-14
382,Ġthe,5.9006585e-14
46,ces,5.3793446e-14
379,Ġserum,5.3670745e-14
360,Ġlife,5.2373308e-14
149,Ġlife,5.236649e-14
187,Ġin,5.233561e-14
147,Ġ&,4.8363128e-14
212,Ġof,4.2995785e-14
82,Ġran,3.618436e-14
163,ique,3.6033046e-14
142,Ġgift,3.5850368e-14
337,Ġ&,3.100862e-14
146,Ġhimself,2.9470933e-14
106,Ġ(,2.7329286e-14
125,Ġ(,2.5180868e-14
33,ĠGermany,2.2482724e-14
61,Ġgiving,2.0854395e-14
83,Ġthe,2.0398925e-14
215,Ġhave,1.555999e-14
687,ob,1.5189996e-14
376,Ġof,1.439663e-14
378,Ġgreen,1.4235334e-14
403,Ġ(,1.4121807e-14
211,As,1.352838e-14
347,ĠFinal,1.31036065e-14
143,Ġof,1.1284005e-14
377,Ġthe,1.0822275e-14
273,),1.071047e-14
213,Ġlate,1.0105354e-14
145,Ġto,9.541126e-15
174,Ġcurse,9.048006e-15
10,Ġduring,8.604061e-15
183,Ġsecret,8.591636e-15
216,Ġbeen,8.017696e-15
104,ĠAf,7.8496915e-15
99,Ġyear,7.697379e-15
148,Ġgave,7.268025e-15
274,Ġ&,7.112644e-15
392,Ġsuicide,6.9918864e-15
98,Ġ3000,6.9018244e-15
60,Ġof,6.879045e-15
691,Ġhave,6.4570097e-15
385,Ġ&,6.210752e-15
5,Ġin,5.9195355e-15
11,Ġ1944,5.4413816e-15
219,Ġbit,4.942368e-15
688,viously,4.7769126e-15
689,Ġother,4.6506124e-15
942,br,4.3361895e-15
97,Ġa,4.2472375e-15
201,Ġlearnt,4.1475345e-15
331,),4.05241e-15
101,ĠEgyptian,4.0266888e-15
86,ĠMag,3.56059e-15
221,Ġa,3.523528e-15
181,Ġwhom,3.5083059e-15
249,Ġseen,3.0353595e-15
139,zel,2.8732162e-15
940,Ġ/,2.7040762e-15
375,Ġnone,2.6666192e-15
179,ĠSut,2.5248436e-15
94,Ġwhen,2.3626985e-15
102,Ġsorcerer,2.3405625e-15
246,Ġsuch,2.2914024e-15
816,Ġit,2.2038275e-15
686,Ġ(,2.1865385e-15
48,Ġhis,2.00847e-15
817,'s,1.9938251e-15
391,Ġcommitting,1.8470915e-15
119,Ġyoung,1.774308e-15
818,Ġwait,1.7618785e-15
245,Ġas,1.7610424e-15
374,'s,1.7597083e-15
244,Ġ&,1.7289863e-15
214,ĠI,1.7070843e-15
690,Ġcountries,1.6469224e-15
685,ĠUS,1.4691525e-15
103,Ġnamed,1.3215628e-15
58,Ġthe,1.2069302e-15
176,Ġthe,1.1958503e-15
860,br,1.1584827e-15
373,Ġthere,1.0685735e-15
248,Ġhave,9.954e-16
692,Ġtheir,9.812992e-16
815,Ġabove,9.576244e-16
96,Ġmet,8.681296e-16
404,1989,8.5800663e-16
124,a,8.455648e-16
784,Ġcheap,8.2024913e-16
858,Ġ/,7.5023693e-16
47,Ġabout,7.331759e-16
247,ĠI,7.1356104e-16
121,Ġbeautiful,7.0408523e-16
130,au,6.3406234e-16
100,Ġold,5.4223984e-16
52,Ġthe,5.083903e-16
59,Ġsecret,4.631689e-16
109,ner,4.3183934e-16
4,Ġstarts,4.2339484e-16
56,Ġhe,4.1018695e-16
814,Ġpositioned,4.0610523e-16
386,Ġdespite,3.9645057e-16
138,ĠAf,3.6391712e-16
120,Ġ&,3.5920462e-16
55,Ġwhich,3.41663e-16
813,Ġalways,3.2329183e-16
93,Ġnight,2.9349493e-16
92,Ġfateful,2.8994422e-16
57,Ġlearned,2.8625891e-16
50,Ġlife,2.8556893e-16
123,ls,2.8311706e-16
49,Ġearly,2.7359532e-16
433,oul,2.7248724e-16
332,Ġwith,2.6511702e-16
95,Ġhe,2.610542e-16
53,Ġpoint,2.5636858e-16
683,Ġin,2.4916083e-16
141,Ġthe,2.222092e-16
218,Ġa,2.0410128e-16
122,ĠI,1.9280409e-16
51,Ġ&,1.8684822e-16
812,Ġis,1.8403947e-16
140,Ġpassed,1.710138e-16
54,Ġat,1.6811914e-16
783,Ġwas,1.6490387e-16
780,Ġin,1.6478865e-16
963,:,1.4711361e-16
684,Ġthe,1.4703188e-16
321,ĠMaster,1.2573385e-16
180,ek,1.2073412e-16
322,ĠIII,1.1791454e-16
188,Ġthe,1.0537247e-16
275,Ġnow,9.307375e-17
91,Ġthe,6.716346e-17
177,Ġancient,6.0448334e-17
63,Ġto,5.7920986e-17
696,Ġsystems,5.562989e-17
955,ĠMaster,5.3202854e-17
222,ĠPuppet,5.193409e-17
682,',4.366595e-17
810,Ġthe,4.257216e-17
778,sure,3.833399e-17
66,Ġway,3.7412178e-17
372,Ġagain,3.593508e-17
693,Ġown,3.5672293e-17
394,Ġ1939,3.2314678e-17
820,Ġit,3.080603e-17
637,br,2.881533e-17
401,ĠPuppet,2.858995e-17
15,ĠAndre,2.763959e-17
678,Ġnot,2.4501288e-17
621,Ġhoping,2.4125986e-17
627,Ġwhich,2.3824817e-17
402,master,2.2515216e-17
235,ĠI,2.2073242e-17
387,ĠAndre,2.0146156e-17
393,Ġin,1.933545e-17
624,Ġyet,1.9264128e-17
223,ĠMaster,1.9182413e-17
625,Ġanother,1.830608e-17
228,Ġa,1.803377e-17
626,Ġsequel,1.6514679e-17
90,Ġdescribes,1.30652566e-17
236,Ġdecided,1.284042e-17
210,Ġ/>,1.2532201e-17
821,'s,1.21724086e-17
680,Ġ',1.1159122e-17
89,ĠHe,1.0981114e-17
384,Ġfilms,1.0753039e-17
217,Ġon,1.0716758e-17
400,Ġoriginal,1.0353264e-17
676,ĠMaster,1.02065915e-17
622,Ġto,1.01457185e-17
675,ĠPuppet,9.799675e-18
84,ĠThe,9.713881e-18
592,'s,9.707399e-18
677,Ġfilm,9.453295e-18
634,br,9.0316625e-18
616,Ġsuspects,8.351771e-18
434,on,7.648601e-18
398,Ġof,7.38813e-18
591,ĠIt,7.329911e-18
110,),6.7689153e-18
628,Ġdealt,6.5120865e-18
118,Ġthe,6.0467457e-18
614,Ġalthough,5.849498e-18
371,",",5.848133e-18
629,Ġwith,5.759894e-18
631,Ġvery,5.7434314e-18
630,Ġthat,5.72534e-18
397,Ġstart,5.7230865e-18
635,Ġ/,5.4852414e-18
802,Ġwhenever,5.451184e-18
131,).,5.0373144e-18
615,Ġone,4.464395e-18
395,Ġat,3.4639015e-18
432,ĠT,3.3950325e-18
137,Ġhow,3.358372e-18
595,Ġexplained,2.7771187e-18
859,><,2.6621447e-18
965,ĠLegacy,2.481286e-18
809,',2.4335749e-18
596,Ġwhy,2.4214714e-18
594,Ġeven,2.3823252e-18
593,Ġnever,2.0576045e-18
227,Ġbeing,2.0407968e-18
674,Ġonly,2.0106294e-18
803,Ġyou,1.6090652e-18
277,ĠPuppet,1.5965088e-18
597,Ġthese,1.58817e-18
672,ĠMaster,1.5282583e-18
671,ĠPuppet,1.4630047e-18
178,ĠGod,1.2281861e-18
229,Ġbig,1.1746106e-18
450,ls,1.142906e-18
150,Ġto,1.0516235e-18
953,Ġfinal,9.567211e-19
336,Ġsetting,9.387787e-19
243,Ġfranchise,9.165675e-19
226,Ġas,9.154501e-19
819,Ġso,8.983416e-19
399,Ġthe,7.097233e-19
673,Ġthe,6.987147e-19
524,ĠI,6.892331e-19
636,><,6.782872e-19
152,Ġown,6.5268743e-19
801,Ġmean,6.3745216e-19
608,ĠMaster,6.223618e-19
449,ĠI,6.0143506e-19
800,ĠI,5.3285657e-19
805,Ġa,4.9091086e-19
64,Ġdead,4.7179316e-19
943,Ġ/>,4.468219e-19
405,),4.338752e-19
396,Ġthe,4.1303155e-19
964,ĠThe,4.01258e-19
804,Ġsee,3.8662378e-19
623,Ġmake,3.6220988e-19
333,Ġit,3.480008e-19
230,Ġfan,3.4090246e-19
409,Ġalive,3.2749272e-19
941,><,3.0892836e-19
238,Ġwatch,3.0538544e-19
144,Ġlife,2.8475762e-19
607,ĠPuppet,2.6279572e-19
278,ĠMaster,2.554749e-19
232,Ġthe,2.492334e-19
85,ate,2.4006728e-19
609,Ġfans,2.3790916e-19
781,Ġ1999,2.326108e-19
320,ĠPuppet,2.2118455e-19
613,Ġlove,2.1915716e-19
861,Ġ/>,2.1412938e-19
334,'s,2.096453e-19
633,.<,2.0294402e-19
921,Ġthe,2.027892e-19
856,.<,1.8405234e-19
600,Ġwere,1.7558551e-19
231,Ġof,1.7355149e-19
620,Ġwas,1.7205048e-19
62,Ġlife,1.6860116e-19
714,Ġpupp,1.6532476e-19
276,ĠRetro,1.6195581e-19
811,Ġcamera,1.3883766e-19
242,Ġthe,1.2693667e-19
233,Ġfirst,1.185375e-19
617,Ġthat,1.1254405e-19
938,.<,1.00215284e-19
968,),9.07003e-20
610,Ġhave,9.041033e-20
155,ets,8.940362e-20
170,Ġlife,8.6502283e-20
611,Ġcome,8.575386e-20
599,ets,8.459682e-20
112,Ġthe,8.158285e-20
598,Ġpupp,7.4495634e-20
601,Ġused,7.323883e-20
939,br,7.2620616e-20
715,ets,7.099494e-20
240,Ġrest,6.902342e-20
962,ĠMaster,5.8763563e-20
136,Ġof,5.3879702e-20
807,Ġ',5.3551663e-20
154,Ġpupp,4.9158433e-20
612,Ġto,4.8459265e-20
606,Ġall,4.757457e-20
319,Ġbetween,4.580006e-20
241,Ġof,4.348567e-20
132,ĠHe,4.285796e-20
368,Ġcontinuity,3.802926e-20
670,ĠRetro,3.7850373e-20
279,Ġin,3.6652053e-20
2,ĠPuppet,3.4808132e-20
3,ĠMaster,3.260449e-20
237,Ġto,2.93903e-20
525,Ġfound,2.936372e-20
406,Ġhe,2.936202e-20
108,ĠDon,2.7041688e-20
111,Ġ&,2.6768035e-20
527,",",2.1879554e-20
526,Ġincredible,2.1798227e-20
605,Ġones,2.1452554e-20
602,Ġrather,2.0440767e-20
528,ĠI,1.9690316e-20
529,Ġmean,1.6658826e-20
407,Ġis,1.5813081e-20
224,Ġb,1.5780113e-20
808,walk,1.5421508e-20
117,Ġlife,1.3648178e-20
912,ĠRomania,1.2302364e-20
530,Ġwhy,1.1061234e-20
960,Ġone,9.050222e-21
408,Ġseen,8.935411e-21
947,ĠMaster,8.8170304e-21
822,Ġlegs,8.810864e-21
718,Ġkill,8.540915e-21
1,ro,8.48045e-21
133,Ġtells,7.972362e-21
134,Ġthe,7.654861e-21
603,Ġthan,7.534607e-21
234,Ġthree,6.596782e-21
412,Ġduring,6.4113396e-21
413,Ġ1944,5.817318e-21
532,Ġthe,5.6231657e-21
541,Ġthe,5.4492845e-21
681,R,5.3323027e-21
664,-,5.1346493e-21
535,Ġthe,4.8298963e-21
534,Ġtake,4.717492e-21
542,ĠPuppet,4.672227e-21
531,Ġwould,4.3142627e-21
239,Ġthe,4.1893536e-21
543,ĠMaster,4.1149764e-21
135,Ġstory,3.844659e-21
537,Ġbasic,3.5786976e-21
539,Ġthat,3.4684414e-21
0,Ret,3.451316e-21
533,Ġmakers,3.0829393e-21
540,Ġmade,2.9745265e-21
115,Ġof,2.9677023e-21
555,Ġpupp,2.732128e-21
556,ets,2.4682423e-21
806,Ġpuppet,2.2978399e-21
65,Ġobjects,2.0865486e-21
679,Ġrated,1.9845317e-21
456,Ġsecret,1.8665642e-21
538,Ġthing,1.8357804e-21
536,Ġone,1.714729e-21
632,Ġquestion,1.4715915e-21
945,ro,1.4003797e-21
545,Ġso,1.3813238e-21
410,Ġ&,1.3383013e-21
1000,Ġkiller,1.1084837e-21
281,Ġspace,1.0643789e-21
709,Ġthe,1.0436744e-21
558,Ġseen,1.0428812e-21
619,ĠMoon,9.622759e-22
312,ĠRetro,9.191024e-22
451,a,9.139526e-22
313,ĠPuppet,8.56024e-22
440,ets,7.8218555e-22
713,Ġthe,7.7118875e-22
553,?,7.2005567e-22
314,ĠMaster,6.825287e-22
663,ĠPG,6.4667313e-22
546,Ġmemorable,6.3379024e-22
225,ender,5.6303923e-22
544,Ġfilms,5.590187e-22
959,Ġnext,5.3771783e-22
923,Ġcentury,5.2247427e-22
116,Ġhi,5.107844e-22
549,Ġdo,4.971519e-22
547,Ġ&,4.4821254e-22
548,Ġcompletely,4.4289665e-22
719,Ġanyone,4.2571e-22
832,Ġobviously,4.0783856e-22
587,-,3.97822e-22
411,Ġwell,3.8063803e-22
922,Ġlast,3.5078574e-22
956,Ġfilm,3.1941077e-22
961,ĠPuppet,3.0407205e-22
920,Ġof,3.023449e-22
335,Ġperiod,3.0104376e-22
552,Ġit,2.8287232e-22
999,Ġlittle,2.694527e-22
716,Ġdon,2.6086156e-22
362,Ġsecret,2.4432484e-22
284,Ġcouple,2.3085387e-22
741,.,2.0782842e-22
315,Ġfeels,2.0707086e-22
724,Ġswearing,1.9207344e-22
723,Ġno,1.8489255e-22
799,.,1.8419508e-22
909,ĠBuch,1.8312719e-22
113,Ġeventual,1.7671078e-22
551,Ġwith,1.7419884e-22
725,Ġ&,1.7172644e-22
562,Ġstart,1.7102517e-22
925,.,1.69799e-22
164,Ġshow,1.6333745e-22
439,Ġpupp,1.4825207e-22
454,Ġlearning,1.3998152e-22
976,Ġseven,1.3876973e-22
479,ĠPuppet,1.3707486e-22
480,ĠMaster,1.370642e-22
726,Ġno,1.367463e-22
823,Ġdon,1.336692e-22
550,Ġaway,1.268788e-22
364,ĠThere,1.2403482e-22
722,'s,1.2175156e-22
831,'s,1.1960602e-22
560,Ġat,1.0574143e-22
604,Ġthe,1.04621744e-22
727,Ġnudity,1.0375438e-22
476,Ġodd,1.0176591e-22
729,.,9.5046373e-23
954,ĠPuppet,9.4409983e-23
966,Ġ(,9.272276e-23
475,Ġ80,8.683422e-23
316,Ġlike,8.5394187e-23
730,ĠThis,8.330985e-23
668,Ġthis,8.006497e-23
165,.,7.958139e-23
363,.,7.8141475e-23
697,),7.4841935e-23
1004,.,6.977572e-23
721,Ġthere,6.874674e-23
88,.,6.812663e-23
311,.,6.743904e-23
416,.,6.657862e-23
561,Ġthe,6.598344e-23
944,Ret,6.490281e-23
317,Ġa,6.460862e-23
905,.,6.424172e-23
477,Ġminutes,6.293291e-23
286,Ġweeks,5.962165e-23
732,Ġt,5.8974497e-23
280,Ġthe,5.7245023e-23
618,ĠFull,5.6976596e-23
414,Ġin,5.620406e-23
318,Ġcross,5.600081e-23
969,Ġbasically,5.5379544e-23
924,ĠParis,5.537546e-23
507,.,5.446563e-23
828,Ġshown,4.74938e-23
720,",",4.5635278e-23
910,arest,4.411921e-23
974,Ġthe,4.291804e-23
825,Ġhave,3.9896016e-23
455,Ġthe,3.8921277e-23
957,Ġas,3.888664e-23
448,Ġwith,3.6388876e-23
1040,ĠMaster,3.2783955e-23
967,2004,3.1974353e-23
370,Ġeither,2.727359e-23
946,ĠPuppet,2.670679e-23
287,Ġ&,2.5688787e-23
948,Ġis,2.4841837e-23
970,Ġedits,2.399459e-23
285,Ġof,2.352546e-23
1022,Ġthe,2.1925228e-23
1021,Ġremember,2.0315057e-23
1023,Ġgood,1.9588645e-23
1024,Ġtimes,1.8386896e-23
289,Ġwas,1.6639869e-23
282,Ġof,1.650777e-23
1020,Ġjust,1.6083694e-23
669,Ġmaking,1.595613e-23
288,Ġboy,1.4467949e-23
973,Ġfrom,1.4289658e-23
290,Ġit,1.4001522e-23
87,ique,1.3926905e-23
557,Ġare,1.1753192e-23
478,ĠRetro,1.1213093e-23
1019,Ġ&,1.05289005e-23
554,ĠThe,1.0390295e-23
471,.,1.0295407e-23
862,The,8.381263e-24
1017,Ġthree,8.254081e-24
590,.,7.836751e-24
1018,Ġagain,7.4280665e-24
114,Ġlove,7.2152595e-24
1015,Ġthe,6.5158404e-24
971,Ġtogether,5.7382815e-24
867,ĠRetro,5.6987773e-24
292,Ġto,5.5699283e-24
739,Ġthe,5.3942498e-24
911,Ġin,5.283411e-24
972,Ġfootage,5.1286837e-24
283,Ġa,4.9860754e-24
827,Ġbe,4.9592352e-24
1016,Ġfirst,4.7373286e-24
665,13,4.718876e-24
367,Ġmuch,4.5605232e-24
366,Ġnot,4.352829e-24
782,ĠCGI,4.069735e-24
899,Ġhandsome,3.9572233e-24
908,Ġin,3.863455e-24
779,ly,3.2048237e-24
365,'s,3.0100731e-24
1014,Ġof,2.9263462e-24
712,",",2.1341168e-24
993,Ġwell,2.0637583e-24
1013,Ġone,1.5814451e-24
854,Ġeffects,1.468224e-24
662,Ġa,1.444867e-24
369,Ġhere,1.4294523e-24
975,Ġprevious,1.4000114e-24
952,Ġthe,1.3839541e-24
695,Ġratings,1.2869642e-24
667,Ġfor,1.2112102e-24
1012,Ġwatch,1.0728807e-24
777,Ġ(,1.0556075e-24
958,Ġthe,1.0429721e-24
900,Ġfilm,9.100853e-25
657,ĠMoon,8.509858e-25
785,Ġenough,8.421822e-25
826,Ġto,7.9431775e-25
869,ĠMaster,7.2007036e-25
473,Ġat,6.697092e-25
995,Ġthree,6.6252454e-25
774,ĠCGI,5.891939e-25
482,Ġlong,4.682547e-25
453,Ġhim,4.6824175e-25
694,Ġfilm,4.2644445e-25
559,Ġbriefly,4.0638115e-25
949,Ġmore,3.948957e-25
660,Ġgo,3.6055028e-25
1025,...,3.3983124e-25
563,Ġ&,2.917003e-25
638,Ġ/>,2.9098273e-25
1001,Ġpuppet,2.7098306e-25
1011,Ġjust,2.4349476e-25
447,Ġrelationship,2.3527022e-25
474,Ġonly,2.2684615e-25
951,Ġless,2.1344905e-25
431,ĠAndre,1.9890996e-25
481,Ġfeels,1.9239249e-25
457,Ġof,1.6462497e-25
906,ĠApparently,1.5725315e-25
847,Ġstate,1.5609618e-25
744,Ġpupp,1.5506145e-25
840,Ġalong,1.5151112e-25
850,Ġart,1.4683031e-25
851,Ġas,1.4238083e-25
565,Ġend,1.4109313e-25
658,Ġdecided,1.346117e-25
1039,ĠPuppet,1.2342181e-25
844,Ġas,1.0843127e-25
656,ĠFull,1.0294012e-25
919,Ġturn,1.0042432e-25
845,Ġcomplex,1.0009921e-25
1028,Ġpupp,9.2909566e-26
647,Ġof,9.035516e-26
650,Ġpupp,8.710459e-26
852,Ġthe,7.775411e-26
849,Ġthe,7.765303e-26
977,Ġfilms,7.693941e-26
649,Ġfavourite,7.504564e-26
745,ets,7.0854124e-26
846,Ġ&,7.0113285e-26
659,Ġto,6.832454e-26
291,Ġtough,6.641695e-26
848,Ġof,6.3859597e-26
829,Ġ&,6.178965e-26
843,'s,5.4783814e-26
735,Ġtame,5.4287257e-26
837,Ġpushing,5.3126885e-26
648,Ġour,5.3119853e-26
646,Ġlack,5.286294e-26
950,Ġor,5.226834e-26
661,Ġwith,5.0413367e-26
841,",",4.987686e-26
842,Ġthat,4.9821355e-26
645,Ġcomplete,4.9380298e-26
836,Ġjust,4.7910194e-26
639,If,4.4949402e-26
1042,ĠDemonic,4.2490655e-26
1029,ets,4.147548e-26
564,Ġthe,3.932066e-26
998,Ġdistinctive,3.8786698e-26
1045,2004,3.6360738e-26
1043,ĠToys,3.6151264e-26
838,Ġthe,3.580805e-26
651,ets,3.487527e-26
839,Ġthing,3.4719506e-26
717,'t,3.4593156e-26
1002,Ġf,3.4018095e-26
833,Ġsome,3.3934343e-26
830,Ġthere,3.3723625e-26
644,Ġa,3.272633e-26
835,Ġassistant,3.01477e-26
710,Ġentire,2.9320558e-26
1003,licks,2.7896605e-26
855,Ġget,2.6030986e-26
293,Ġget,2.5988748e-26
643,Ġ&,2.4875062e-26
1026,ĠThe,2.426022e-26
523,Ġwhich,2.3301053e-26
743,Ġthe,2.0943843e-26
746,Ġthemselves,2.06346e-26
640,Ġa,2.0423934e-26
435,Ġhimself,2.011262e-26
446,Ġhis,1.9741113e-26
902,Ġwatch,1.952445e-26
834,Ġproduction,1.8501652e-26
1027,Ġkiller,1.7784364e-26
642,Ġstory,1.766592e-26
883,Ġperiod,1.7178502e-26
1041,Ġvs,1.6964289e-26
747,Ġbeing,1.6587768e-26
1044,Ġ(,1.484019e-26
641,Ġpoor,1.4717742e-26
984,Ġway,1.43146e-26
734,Ġthan,1.3203991e-26
824,'t,1.2873991e-26
1030,Ġwould,1.1667877e-26
153,Ġwooden,1.1598365e-26
652,Ġwasn,1.1484157e-26
711,Ġfilm,1.0282391e-26
853,Ġspecial,1.0134787e-26
728,Ġeither,9.482011e-27
1046,).,9.333315e-27
484,Ġpadded,9.2323735e-27
1005,ĠDon,8.775273e-27
1038,Ġflick,8.655473e-27
1032,Ġin,8.133625e-27
733,amer,7.466562e-27
786,?),7.274716e-27
731,Ġis,7.1654994e-27
1033,Ġthe,7.136073e-27
1031,Ġreturn,6.671011e-27
913,Ġwhich,6.5569494e-27
655,Ġenough,6.38415e-27
452,Ġ&,5.9406087e-27
666,Ġrating,5.687502e-27
653,'t,5.4760444e-27
907,Ġfilmed,5.431732e-27
654,Ġbad,4.9282383e-27
1035,Ġspin,4.8041398e-27
1006,'t,4.77865e-27
1037,off,4.5803464e-27
742,ĠBesides,4.3947614e-27
1036,-,3.279233e-27
749,Ġthe,3.2087977e-27
483,Ġ&,3.1422437e-27
294,Ġthrough,2.6647542e-27
886,",",2.443933e-27
865,Ġthing,2.2559086e-27
1034,Ġterrible,1.7910207e-27
740,Ġway,1.7652731e-27
736,Ġkids,1.6136939e-27
916,Ġquite,1.5230594e-27
994,Ġwith,1.3314404e-27
868,ĠPuppet,1.232596e-27
415,Ġthis,1.1081529e-27
996,Ġexcellent,1.0553633e-27
753,Ġthe,9.557394e-28
708,Ġin,8.960893e-28
992,Ġso,8.0421317e-28
991,Ġstarted,7.78626e-28
750,Ġspecial,6.0235727e-28
421,Ġstory,5.6609754e-28
707,Ġblood,5.3427406e-28
894,Ġ&,4.6356503e-28
985,Ġto,4.3233405e-28
458,Ġlife,4.2012424e-28
472,ĠEven,4.063783e-28
419,Ġof,3.9955598e-28
430,Ġon,3.7203827e-28
738,Ġall,3.194571e-28
438,Ġthe,2.8341658e-28
423,Ġtold,2.7695313e-28
424,Ġas,2.688756e-28
422,Ġis,2.4215663e-28
997,Ġ&,2.3246403e-28
420,Ġthe,2.2535807e-28
990,Ġwhich,2.150005e-28
884,Ġproduction,2.0969528e-28
417,ĠThe,1.5844078e-28
931,Ġ&,1.4768145e-28
443,Ġfilm,1.3242829e-28
918,Ġfor,1.2553328e-28
418,Ġmajority,1.2067042e-28
699,Ġtherefore,1.1792592e-28
926,ĠThe,1.1748138e-28
519,Ġredesign,1.1641438e-28
445,Ġon,1.068358e-28
437,Ġthan,1.0501933e-28
425,Ġa,1.0224024e-28
896,'s,9.3622855e-29
759,Ġtoo,8.5828677e-29
706,Ġof,8.0467556e-29
754,Ġw,7.704813e-29
426,Ġflashback,6.31141e-29
1007,Ġbother,5.700691e-29
928,Ġhere,4.902864e-29
888,Ġ&,4.8302443e-29
983,Ġcrappy,3.97183e-29
889,Ġprops,3.4712733e-29
756,Ġof,3.0752082e-29
