from_ids,from_token,to_ids,to_token,weights
17,oul,16,ĠT,3.2561187e-12
262,ĠChapter,261,ĠFinal,3.2185827e-12
198,Ġeveryone,196,Ġback,3.2151593e-12
8,w,6,ĠK,3.1872192e-12
16,ĠT,17,oul,3.1815945e-12
7,ole,7,ole,3.1469762e-12
18,on,20,Guy,3.1359151e-12
261,ĠFinal,262,ĠChapter,3.124625e-12
257,ĠMaster,255,"),",3.0487813e-12
37,Ġin,34,",",3.0465142e-12
194,Ġwants,194,Ġwants,3.0092471e-12
325,oul,389,oul,2.9128984e-12
202,Ġit,195,Ġit,2.9000485e-12
34,",",37,Ġin,2.8481145e-12
35,Ġhold,34,",",2.842633e-12
340,Ġ4,341,Ġ&,2.7992563e-12
38,Ġan,34,",",2.7873433e-12
268,Ġthe,266,ĠCurse,2.730086e-12
20,Guy,20,Guy,2.7188098e-12
268,Ġthe,268,Ġthe,2.6864583e-12
34,",",35,Ġhold,2.662493e-12
266,ĠCurse,266,ĠCurse,2.639834e-12
267,Ġof,266,ĠCurse,2.639366e-12
389,oul,325,oul,2.6092583e-12
266,ĠCurse,268,Ġthe,2.5976437e-12
267,Ġof,268,Ġthe,2.597178e-12
268,Ġthe,267,Ġof,2.596757e-12
341,Ġ&,340,Ġ4,2.5946034e-12
269,ĠPuppet,270,ĠMaster,2.5876742e-12
18,on,16,ĠT,2.5741958e-12
270,ĠMaster,269,ĠPuppet,2.5703003e-12
76,Ġ(,75,Ġself,2.5563221e-12
75,Ġself,76,Ġ(,2.5423281e-12
197,Ġ&,199,Ġwho,2.5349052e-12
266,ĠCurse,267,Ġof,2.5109125e-12
267,Ġof,267,Ġof,2.5104625e-12
251,ĠMaster,252,Ġ4,2.4998929e-12
30,Ġplan,27,Ġliving,2.488115e-12
75,Ġself,73,Ġhis,2.4636718e-12
43,oul,43,oul,2.458405e-12
252,Ġ4,251,ĠMaster,2.4536083e-12
25,Ġ&,30,Ġplan,2.4411354e-12
77,Greg,74,Ġyounger,2.4406562e-12
30,Ġplan,25,Ġ&,2.4302368e-12
17,oul,14,Ġmaster,2.4274157e-12
253,Ġ(,263,Ġ(,2.424875e-12
17,oul,389,oul,2.4042198e-12
16,ĠT,18,on,2.3784225e-12
263,Ġ(,253,Ġ(,2.367316e-12
255,"),",258,Ġ5,2.3642702e-12
73,Ġhis,75,Ġself,2.3037297e-12
258,Ġ5,255,"),",2.297766e-12
27,Ġliving,30,Ġplan,2.2754754e-12
389,oul,17,oul,2.264871e-12
345,:,341,Ġ&,2.204743e-12
340,Ġ4,340,Ġ4,2.194979e-12
344,Ġ5,341,Ġ&,2.1566542e-12
260,ĠThe,346,ĠThe,2.1502346e-12
202,Ġit,196,Ġback,2.1451916e-12
199,Ġwho,197,Ġ&,2.138957e-12
258,Ġ5,261,ĠFinal,2.133595e-12
251,ĠMaster,253,Ġ(,2.133302e-12
261,ĠFinal,258,Ġ5,2.0881413e-12
329,Ġ(,327,'s,2.0247068e-12
81,),76,Ġ(,2.0156901e-12
26,Ġhis,30,Ġplan,2.0040096e-12
327,'s,329,Ġ(,2.0016068e-12
30,Ġplan,26,Ġhis,1.9970763e-12
252,Ġ4,340,Ġ4,1.9767675e-12
81,),73,Ġhis,1.9533275e-12
270,ĠMaster,266,ĠCurse,1.9223397e-12
346,ĠThe,260,ĠThe,1.9122139e-12
270,ĠMaster,268,Ġthe,1.8916162e-12
268,Ġthe,270,ĠMaster,1.8896187e-12
76,Ġ(,81,),1.8607984e-12
194,Ġwants,198,Ġeveryone,1.8541449e-12
73,Ġhis,70,Ġin,1.8384847e-12
270,ĠMaster,267,Ġof,1.828455e-12
267,Ġof,270,ĠMaster,1.826827e-12
21,ĠR,20,Guy,1.8170031e-12
68,Ġin,73,Ġhis,1.8045591e-12
17,oul,19,Ġ(,1.8036989e-12
24,),30,Ġplan,1.7744623e-12
341,Ġ&,345,:,1.7677398e-12
329,Ġ(,328,ĠRevenge,1.7672879e-12
70,Ġin,73,Ġhis,1.7650848e-12
22,olf,20,Guy,1.7591426e-12
328,ĠRevenge,329,Ġ(,1.7519703e-12
254,1993,264,1994,1.7150064e-12
264,1994,254,1993,1.7085876e-12
341,Ġ&,344,Ġ5,1.7005247e-12
344,Ġ5,340,Ġ4,1.6910993e-12
250,ĠPuppet,251,ĠMaster,1.6821369e-12
256,ĠPuppet,250,ĠPuppet,1.6816878e-12
251,ĠMaster,250,ĠPuppet,1.6800591e-12
25,Ġ&,27,Ġliving,1.6724274e-12
250,ĠPuppet,256,ĠPuppet,1.6603021e-12
75,Ġself,75,Ġself,1.6392197e-12
25,Ġ&,25,Ġ&,1.6335237e-12
200,Ġhas,204,...,1.6241227e-12
263,Ġ(,329,Ġ(,1.5971903e-12
20,Guy,21,ĠR,1.5705339e-12
265,"),",263,Ġ(,1.5637368e-12
27,Ġliving,27,Ġliving,1.5589364e-12
198,Ġeveryone,194,Ġwants,1.5496867e-12
20,Guy,22,olf,1.5427208e-12
265,"),",264,1994,1.5375801e-12
27,Ġliving,25,Ġ&,1.5226783e-12
263,Ġ(,265,"),",1.5098031e-12
16,ĠT,16,ĠT,1.4898245e-12
264,1994,265,"),",1.4890291e-12
340,Ġ4,252,Ġ4,1.4815728e-12
194,Ġwants,352,Ġtrying,1.4580328e-12
19,Ġ(,76,Ġ(,1.4488429e-12
340,Ġ4,344,Ġ5,1.4386048e-12
18,on,19,Ġ(,1.4259509e-12
19,Ġ(,18,on,1.4210474e-12
43,oul,389,oul,1.3948836e-12
329,Ġ(,263,Ġ(,1.385809e-12
389,oul,43,oul,1.3801323e-12
326,on,390,on,1.3741855e-12
26,Ġhis,27,Ġliving,1.3729516e-12
76,Ġ(,19,Ġ(,1.3492935e-12
25,Ġ&,26,Ġhis,1.3423704e-12
26,Ġhis,25,Ġ&,1.3410193e-12
252,Ġ4,252,Ġ4,1.3342836e-12
270,ĠMaster,270,ĠMaster,1.3305402e-12
348,ĠChapter,348,ĠChapter,1.3278959e-12
352,Ġtrying,194,Ġwants,1.3007128e-12
81,),75,Ġself,1.2996587e-12
252,Ġ4,344,Ġ5,1.2955873e-12
348,ĠChapter,345,:,1.2659252e-12
194,Ġwants,175,Ġas,1.2617452e-12
