[I 2025-03-22 03:32:44,377] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 07:49:13,377] Trial 120 finished with value: 0.6003151214026855 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8997945318144683, 'batch_size': 54, 'attention_heads': 10, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4151700556675184, 'global_pooling': 'max', 'learning_rate': 0.0003702436431494112, 'weight_decay': 0.0004286995858526306, 'beta_0': 0.8158123641665006, 'beta_1': 0.9813457579651269, 'epsilon': 4.133904140841818e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 08:01:00,534] Trial 121 finished with value: 0.6089913860118508 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9041163768785693, 'batch_size': 64, 'attention_heads': 10, 'hidden_dimension': 137, 'number_of_hidden_layers': 2, 'dropout_rate': 0.370175564887503, 'global_pooling': 'max', 'learning_rate': 0.0002989204444830454, 'weight_decay': 0.0001465744870266899, 'beta_0': 0.84420241420364, 'beta_1': 0.980855366431918, 'epsilon': 3.154880717594066e-07, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 08:12:52,250] Trial 122 finished with value: 0.5858513326520297 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9028215270743365, 'batch_size': 67, 'attention_heads': 10, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39988329724836547, 'global_pooling': 'max', 'learning_rate': 0.0004105069946972209, 'weight_decay': 0.00018286872376327076, 'beta_0': 0.8306484731419821, 'beta_1': 0.9802514564195237, 'epsilon': 2.0167961677471428e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 08:23:56,575] Trial 123 finished with value: 0.5420122980897942 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8957229329321618, 'batch_size': 73, 'attention_heads': 8, 'hidden_dimension': 153, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40966035333396433, 'global_pooling': 'max', 'learning_rate': 0.0005888289081779444, 'weight_decay': 0.00023388805032540763, 'beta_0': 0.8250918585490182, 'beta_1': 0.9814949307475174, 'epsilon': 8.191663388066779e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 08:38:16,896] Trial 124 finished with value: 0.6185489181124723 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.884333251303169, 'batch_size': 69, 'attention_heads': 10, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.401840348790333, 'global_pooling': 'max', 'learning_rate': 0.00020172590452662538, 'weight_decay': 0.00019077374643825627, 'beta_0': 0.8370058667782501, 'beta_1': 0.9805298683468388, 'epsilon': 5.648172052099468e-07, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 08:52:10,863] Trial 125 finished with value: 0.6254161916304513 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8840002938920297, 'batch_size': 62, 'attention_heads': 10, 'hidden_dimension': 172, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35227255802889634, 'global_pooling': 'max', 'learning_rate': 0.00034285812951369906, 'weight_decay': 0.0003089996750269155, 'beta_0': 0.8410826159876348, 'beta_1': 0.9808862334512792, 'epsilon': 3.252175535189143e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 09:05:34,797] Trial 126 finished with value: 0.6107412356585659 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8838078623124147, 'batch_size': 62, 'attention_heads': 9, 'hidden_dimension': 172, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35303461105523043, 'global_pooling': 'max', 'learning_rate': 0.0003127375029245622, 'weight_decay': 0.0002615079196042433, 'beta_0': 0.842562170249455, 'beta_1': 0.9822508777172068, 'epsilon': 1.7164761789066824e-07, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 09:17:51,301] Trial 127 finished with value: 0.6046320095823708 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.908968486517205, 'batch_size': 66, 'attention_heads': 10, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4515116309634488, 'global_pooling': 'max', 'learning_rate': 0.00044086956818653914, 'weight_decay': 0.00034212841236481507, 'beta_0': 0.8391268892532829, 'beta_1': 0.9810474531593243, 'epsilon': 3.0039632702929334e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 14, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 09:31:16,542] Trial 128 finished with value: 0.592033821309731 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8879401288175008, 'batch_size': 60, 'attention_heads': 9, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41868197784231725, 'global_pooling': 'max', 'learning_rate': 0.00013099956684086117, 'weight_decay': 0.00019526757008012533, 'beta_0': 0.8211445793222542, 'beta_1': 0.9800575865262334, 'epsilon': 2.363496434788343e-07, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 09:45:12,831] Trial 129 finished with value: 0.5464127791984047 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8942747738442711, 'batch_size': 68, 'attention_heads': 10, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.321061987058114, 'global_pooling': 'sum', 'learning_rate': 0.00035547380811574254, 'weight_decay': 0.00021528418001540953, 'beta_0': 0.8416122584381103, 'beta_1': 0.9804807096863032, 'epsilon': 4.3138400113824864e-07, 'balanced_loss': True, 'epochs': 163, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
