[I 2025-03-28 18:46:14,062] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-28 22:39:16,332] Trial 188 finished with value: 0.5917435966424699 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8608979167109745, 'batch_size': 41, 'attention_heads': 9, 'hidden_dimension': 198, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5519029462919647, 'global_pooling': 'mean', 'learning_rate': 0.0007096079158867382, 'weight_decay': 0.00041675629232067744, 'beta_0': 0.8211936037464997, 'beta_1': 0.9890782873496704, 'epsilon': 6.15952989446412e-06, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-28 22:49:06,848] Trial 189 finished with value: 0.6051415243605581 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8524963068348348, 'batch_size': 39, 'attention_heads': 9, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5298441534534152, 'global_pooling': 'mean', 'learning_rate': 0.0014043281403841041, 'weight_decay': 0.0007193617956842003, 'beta_0': 0.8185299165053032, 'beta_1': 0.98884021086283, 'epsilon': 7.2415680207639186e-06, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-28 22:58:54,342] Trial 190 finished with value: 0.5276598181398015 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8646350585288541, 'batch_size': 40, 'attention_heads': 9, 'hidden_dimension': 136, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5352403586665998, 'global_pooling': 'sum', 'learning_rate': 0.0019408486111638758, 'weight_decay': 0.0005266698868759287, 'beta_0': 0.8240659578556623, 'beta_1': 0.9893904410471993, 'epsilon': 4.639958640224633e-06, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-28 23:09:31,667] Trial 191 finished with value: 0.6181740618577549 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8577311590469607, 'batch_size': 37, 'attention_heads': 9, 'hidden_dimension': 230, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5376300130965208, 'global_pooling': 'mean', 'learning_rate': 0.0017983728192696494, 'weight_decay': 0.0006292598949212579, 'beta_0': 0.8155074393132696, 'beta_1': 0.9880932024923941, 'epsilon': 8.656543761205576e-06, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-28 23:20:13,520] Trial 192 finished with value: 0.6088813242173496 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8588710792586672, 'batch_size': 42, 'attention_heads': 9, 'hidden_dimension': 232, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5373617358476471, 'global_pooling': 'mean', 'learning_rate': 0.002545675632533631, 'weight_decay': 0.0006172770344925872, 'beta_0': 0.8155561605375822, 'beta_1': 0.9882008046804561, 'epsilon': 6.362862153843432e-06, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-28 23:30:50,787] Trial 193 finished with value: 0.596575382360582 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8515680550362649, 'batch_size': 37, 'attention_heads': 8, 'hidden_dimension': 248, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5272022783657596, 'global_pooling': 'max', 'learning_rate': 0.0013099639967597255, 'weight_decay': 0.00046678216010708016, 'beta_0': 0.8134661614675296, 'beta_1': 0.9881942639537411, 'epsilon': 1.155659924005191e-05, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-28 23:42:27,518] Trial 194 finished with value: 0.5993383161056552 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8565760181517136, 'batch_size': 34, 'attention_heads': 9, 'hidden_dimension': 245, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5379442363211289, 'global_pooling': 'mean', 'learning_rate': 0.001693575444701154, 'weight_decay': 0.0008095392451314391, 'beta_0': 0.8216631336273351, 'beta_1': 0.9884673360508145, 'epsilon': 8.27154804662799e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-28 23:53:00,980] Trial 195 finished with value: 0.6125492524881748 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.871106816708855, 'batch_size': 38, 'attention_heads': 9, 'hidden_dimension': 230, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5477473510094332, 'global_pooling': 'mean', 'learning_rate': 0.0021497135191942155, 'weight_decay': 0.0006611875986045049, 'beta_0': 0.8194833077658413, 'beta_1': 0.9920886687555883, 'epsilon': 9.626227172826458e-06, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-29 00:02:28,965] Trial 196 finished with value: 0.6190602707872437 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.865150897418766, 'batch_size': 36, 'attention_heads': 10, 'hidden_dimension': 92, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5174017333430132, 'global_pooling': 'mean', 'learning_rate': 0.0017880870520474155, 'weight_decay': 0.0005624243160922078, 'beta_0': 0.8163377098873842, 'beta_1': 0.9876936094209094, 'epsilon': 5.403265926578721e-06, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
[I 2025-03-29 00:11:57,107] Trial 197 finished with value: 0.607761242901271 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.863444427033492, 'batch_size': 36, 'attention_heads': 10, 'hidden_dimension': 89, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5627586365089245, 'global_pooling': 'mean', 'learning_rate': 0.0026833130231064253, 'weight_decay': 0.0005268765165851129, 'beta_0': 0.8164380623190484, 'beta_1': 0.9876677066698215, 'epsilon': 3.860723826263778e-06, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
