[I 2025-03-22 03:32:44,379] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
CUDA out of memory. Tried to allocate 3.08 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.84 GiB is free. Including non-PyTorch memory, this process has 41.71 GiB memory in use. Of the allocated memory 37.38 GiB is allocated by PyTorch, and 3.18 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-22 06:52:17,463] Trial 179 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6946069431638733, 'batch_size': 133, 'attention_heads': 11, 'hidden_dimension': 248, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4043545020739838, 'global_pooling': 'max', 'learning_rate': 0.00014272406756602322, 'weight_decay': 6.861817823369456e-06, 'beta_0': 0.8553341887940089, 'beta_1': 0.9969008588635244, 'epsilon': 1.6902413596745902e-08, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 07:03:14,750] Trial 180 finished with value: 0.9350735548611285 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6858412440404625, 'batch_size': 119, 'attention_heads': 12, 'hidden_dimension': 72, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4134208336397279, 'global_pooling': 'max', 'learning_rate': 0.00025971822428973553, 'weight_decay': 8.023274202517011e-06, 'beta_0': 0.8522569981678709, 'beta_1': 0.9960088707058095, 'epsilon': 2.9174779615607344e-08, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 07:14:21,616] Trial 181 finished with value: 0.9367425931682446 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7028965810677236, 'batch_size': 166, 'attention_heads': 11, 'hidden_dimension': 53, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38781489572086003, 'global_pooling': 'max', 'learning_rate': 8.425189109356592e-05, 'weight_decay': 3.970437255245273e-06, 'beta_0': 0.8475819514737919, 'beta_1': 0.997672005070509, 'epsilon': 2.0701440980392027e-08, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 07:26:09,100] Trial 182 finished with value: 0.9433671833811086 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.726329789547497, 'batch_size': 143, 'attention_heads': 10, 'hidden_dimension': 44, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4027108670995065, 'global_pooling': 'max', 'learning_rate': 7.091473110570285e-05, 'weight_decay': 5.52198793613132e-06, 'beta_0': 0.8584707571526068, 'beta_1': 0.9954937154919103, 'epsilon': 1.30135251212584e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 07:36:46,042] Trial 183 finished with value: 0.9428678986090622 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7120896708442948, 'batch_size': 105, 'attention_heads': 13, 'hidden_dimension': 66, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3786887740762775, 'global_pooling': 'max', 'learning_rate': 0.0001547103229093198, 'weight_decay': 9.15850386119565e-06, 'beta_0': 0.850700870722266, 'beta_1': 0.9949364547509495, 'epsilon': 4.8719043206201657e-05, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 07:48:37,665] Trial 184 finished with value: 0.9411781420905376 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6662048209959903, 'batch_size': 129, 'attention_heads': 12, 'hidden_dimension': 37, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41918351959506106, 'global_pooling': 'max', 'learning_rate': 0.00012456956382329233, 'weight_decay': 1.228509244761772e-05, 'beta_0': 0.8437457195830338, 'beta_1': 0.9972110036120692, 'epsilon': 2.312785054989341e-08, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 07:58:28,598] Trial 185 finished with value: 0.949055738758573 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6948950523249932, 'batch_size': 136, 'attention_heads': 11, 'hidden_dimension': 59, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37189946210074526, 'global_pooling': 'max', 'learning_rate': 0.00020496148596578755, 'weight_decay': 4.526801051056492e-06, 'beta_0': 0.8531390331520213, 'beta_1': 0.9978738036037004, 'epsilon': 1.0096964489657066e-06, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 08:08:25,138] Trial 186 finished with value: 0.960411399775382 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.718242121581307, 'batch_size': 131, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39439026915529946, 'global_pooling': 'max', 'learning_rate': 0.0001494427297430006, 'weight_decay': 8.641078906507687e-06, 'beta_0': 0.8574297678177182, 'beta_1': 0.9977144941445929, 'epsilon': 2.450253231549694e-08, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 08:16:59,339] Trial 187 finished with value: 0.950082208588664 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7185195853733873, 'batch_size': 139, 'attention_heads': 11, 'hidden_dimension': 47, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39803442830973196, 'global_pooling': 'max', 'learning_rate': 0.00030555256113232925, 'weight_decay': 6.8159813292516086e-06, 'beta_0': 0.860891782286156, 'beta_1': 0.996729705134251, 'epsilon': 1.6714911988968467e-08, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
