[I 2025-01-08 09:47:53,646] A new study created in RDB with name: RTSP-GATv2-facebook-bart-large-Grouped-No_Aggregation
[I 2025-01-08 12:42:38,066] Trial 21 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5030669944912419, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4409648037527299, 'global_pooling': 'max', 'learning_rate': 0.0006015673650026911, 'weight_decay': 6.196892889873033e-05, 'beta_0': 0.8315159881841772, 'beta_1': 0.9901698319438205, 'epsilon': 9.260022053019851e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 12:50:24,983] Trial 22 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6427212702979199, 'batch_size': 69, 'attention_heads': 15, 'hidden_dimension': 78, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42318223463795257, 'global_pooling': 'max', 'learning_rate': 0.00020542337706296968, 'weight_decay': 1.905784046785866e-05, 'beta_0': 0.8087253067594543, 'beta_1': 0.9914096888313986, 'epsilon': 1.125532975093809e-06, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 12:57:24,819] Trial 23 finished with value: 0.90014064697609 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4760906738089014, 'batch_size': 58, 'attention_heads': 13, 'hidden_dimension': 56, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48316330557097303, 'global_pooling': 'max', 'learning_rate': 0.002459530557276655, 'weight_decay': 7.661903528912687e-05, 'beta_0': 0.8263166852336423, 'beta_1': 0.9882304134362647, 'epsilon': 3.722271724564586e-06, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 13:05:54,766] Trial 24 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5457679555593289, 'batch_size': 51, 'attention_heads': 16, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.391250528128612, 'global_pooling': 'max', 'learning_rate': 0.008040835393374541, 'weight_decay': 0.0005186762772694965, 'beta_0': 0.8408692786030335, 'beta_1': 0.984682718897689, 'epsilon': 2.4671159636361318e-05, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 13:13:28,969] Trial 25 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.611751190424352, 'batch_size': 84, 'attention_heads': 14, 'hidden_dimension': 186, 'number_of_hidden_layers': 1, 'dropout_rate': 0.529309709458407, 'global_pooling': 'max', 'learning_rate': 0.0007762845608798396, 'weight_decay': 1.9393025194356108e-05, 'beta_0': 0.8173445889985211, 'beta_1': 0.9944100475094874, 'epsilon': 4.6969938412057124e-07, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 13:21:58,571] Trial 26 finished with value: 0.8987341772151899 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4683793962706031, 'batch_size': 210, 'attention_heads': 12, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4736579149208052, 'global_pooling': 'max', 'learning_rate': 9.422686978814987e-05, 'weight_decay': 0.0002594077045008615, 'beta_0': 0.8083922693101535, 'beta_1': 0.9839628855533997, 'epsilon': 6.81003598212221e-06, 'balanced_loss': True, 'epochs': 79, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 13:29:10,650] Trial 27 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7142057219769259, 'batch_size': 102, 'attention_heads': 15, 'hidden_dimension': 102, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42701639892772836, 'global_pooling': 'max', 'learning_rate': 0.0004156298359140997, 'weight_decay': 0.0009514745498470655, 'beta_0': 0.8263556777381657, 'beta_1': 0.9821186130063833, 'epsilon': 1.8442037716107077e-06, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 13:36:07,543] Trial 28 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6080241968636149, 'batch_size': 131, 'attention_heads': 11, 'hidden_dimension': 129, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34637285709631394, 'global_pooling': 'mean', 'learning_rate': 0.008804035391470972, 'weight_decay': 5.3313176723851925e-05, 'beta_0': 0.8690981193207447, 'beta_1': 0.9862506665422599, 'epsilon': 7.39898301576645e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 13:42:59,929] Trial 29 finished with value: 0.8980309423347398 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.4135357708163129, 'batch_size': 50, 'attention_heads': 10, 'hidden_dimension': 69, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45526835800575616, 'global_pooling': 'sum', 'learning_rate': 4.1313945253729404e-05, 'weight_decay': 1.4335012647933882e-05, 'beta_0': 0.8425038587917514, 'beta_1': 0.9887536942988063, 'epsilon': 1.6306886665987157e-07, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 13:50:59,026] Trial 30 finished with value: 0.89943741209564 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4624503007837909, 'batch_size': 228, 'attention_heads': 13, 'hidden_dimension': 55, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39232219945796554, 'global_pooling': 'mean', 'learning_rate': 0.0001002902349162097, 'weight_decay': 0.00016665893734927616, 'beta_0': 0.8568470256742164, 'beta_1': 0.9873529000211195, 'epsilon': 6.755117052275673e-06, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
