[I 2025-03-31 10:09:57,961] A new study created in RDB with name: Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows
[I 2025-03-31 17:24:45,814] Trial 20 finished with value: 0.6133514804854511 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 72, 'attention_heads': 14, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35546127887094103, 'global_pooling': 'max', 'learning_rate': 4.111690223000343e-05, 'weight_decay': 9.395126467844974e-05, 'beta_0': 0.8552885407960987, 'beta_1': 0.9850578138366904, 'epsilon': 2.775542837282693e-07, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 17:52:49,184] Trial 21 finished with value: 0.6284545771440306 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 89, 'attention_heads': 16, 'hidden_dimension': 214, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3058797258870006, 'global_pooling': 'sum', 'learning_rate': 0.0003441806769375545, 'weight_decay': 0.0002902386029496506, 'beta_0': 0.8936176547726107, 'beta_1': 0.988362813654366, 'epsilon': 3.02950721738609e-08, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 18:20:17,552] Trial 22 finished with value: 0.5985490330179919 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 76, 'attention_heads': 14, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3297854561513025, 'global_pooling': 'sum', 'learning_rate': 0.00039822697676628646, 'weight_decay': 9.719368755629517e-05, 'beta_0': 0.8756624124841536, 'beta_1': 0.990587219483413, 'epsilon': 1.2236782097830852e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 18:47:40,520] Trial 23 finished with value: 0.6079604722730421 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 57, 'attention_heads': 15, 'hidden_dimension': 230, 'number_of_hidden_layers': 3, 'dropout_rate': 0.30175137138946556, 'global_pooling': 'sum', 'learning_rate': 0.0004507601687234657, 'weight_decay': 0.000203746963000907, 'beta_0': 0.8997293059053413, 'beta_1': 0.9887913351163768, 'epsilon': 3.725200502198862e-08, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 19:10:49,082] Trial 24 finished with value: 0.5762717795162101 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 84, 'attention_heads': 13, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3667878090988501, 'global_pooling': 'sum', 'learning_rate': 4.8122779210454e-05, 'weight_decay': 0.00044729273546304974, 'beta_0': 0.8831658563827111, 'beta_1': 0.9857301326647872, 'epsilon': 1.0374764407520603e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 19:26:10,616] Trial 25 finished with value: 0.5589961316250057 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 75, 'attention_heads': 16, 'hidden_dimension': 204, 'number_of_hidden_layers': 0, 'dropout_rate': 0.330652936218695, 'global_pooling': 'sum', 'learning_rate': 0.00025411348019264735, 'weight_decay': 7.458947974331906e-05, 'beta_0': 0.8535479385865987, 'beta_1': 0.9824274194903251, 'epsilon': 4.8244530529781973e-08, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 19:55:59,844] Trial 26 finished with value: 0.6318216911281318 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 104, 'attention_heads': 15, 'hidden_dimension': 226, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43814443093229116, 'global_pooling': 'max', 'learning_rate': 9.041896850586292e-05, 'weight_decay': 0.0001652638481129865, 'beta_0': 0.8022969968385303, 'beta_1': 0.9897901244068472, 'epsilon': 2.4370015007284047e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 20:16:44,446] Trial 27 finished with value: 0.6019247406424292 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 59, 'attention_heads': 12, 'hidden_dimension': 251, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3352933219906241, 'global_pooling': 'max', 'learning_rate': 0.0006899778249808394, 'weight_decay': 2.022207659823355e-05, 'beta_0': 0.8637013931846803, 'beta_1': 0.9858809636999212, 'epsilon': 5.7165094267329745e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 20:39:24,695] Trial 28 finished with value: 0.6027649264290513 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 90, 'attention_heads': 10, 'hidden_dimension': 193, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3710625150317878, 'global_pooling': 'mean', 'learning_rate': 0.0016025043230911572, 'weight_decay': 0.0005916500865438542, 'beta_0': 0.8183711578475424, 'beta_1': 0.9910941171265336, 'epsilon': 3.56198815048162e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 20:56:33,125] Trial 29 finished with value: 0.5878925211840115 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 4, 'batch_size': 84, 'attention_heads': 15, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42157614412421485, 'global_pooling': 'sum', 'learning_rate': 0.00013477497878141255, 'weight_decay': 0.00024087528963751684, 'beta_0': 0.8417318839392379, 'beta_1': 0.9835267638370789, 'epsilon': 6.459682652775291e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 16 with value: 0.6558430845441042.
