[I 2025-04-06 03:27:02,504] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-06 11:07:10,836] Trial 193 finished with value: 0.6302360491584815 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 102, 'attention_heads': 6, 'hidden_dimension': 210, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5356768381740304, 'global_pooling': 'max', 'learning_rate': 0.00044116000619209367, 'weight_decay': 0.0002596826752878478, 'beta_0': 0.8582539654788826, 'beta_1': 0.9956996441962521, 'epsilon': 2.8078596193747435e-06, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 11:26:13,984] Trial 194 finished with value: 0.6402941359728337 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 51, 'attention_heads': 5, 'hidden_dimension': 218, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5000114573517193, 'global_pooling': 'mean', 'learning_rate': 0.003269517353104549, 'weight_decay': 0.0006548476201703434, 'beta_0': 0.8490886369009827, 'beta_1': 0.9979298372372795, 'epsilon': 1.798964691362623e-05, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 11:49:37,749] Trial 195 finished with value: 0.6554821604655665 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 96, 'attention_heads': 12, 'hidden_dimension': 236, 'number_of_hidden_layers': 1, 'dropout_rate': 0.512693971194826, 'global_pooling': 'mean', 'learning_rate': 0.0009109981790784919, 'weight_decay': 0.0004608962129488414, 'beta_0': 0.8523250130864752, 'beta_1': 0.9939514267238149, 'epsilon': 4.575093620837591e-06, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 12:13:17,559] Trial 196 finished with value: 0.6625221831795384 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 96, 'attention_heads': 12, 'hidden_dimension': 243, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5134236002332616, 'global_pooling': 'mean', 'learning_rate': 0.000979909429814788, 'weight_decay': 0.00047669254124529996, 'beta_0': 0.8552766099399748, 'beta_1': 0.9938330856173953, 'epsilon': 3.850021520020904e-06, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 12:37:11,014] Trial 197 finished with value: 0.6634310753457281 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 92, 'attention_heads': 12, 'hidden_dimension': 241, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5084066471124015, 'global_pooling': 'mean', 'learning_rate': 0.0008891686233595436, 'weight_decay': 0.0003118503272496534, 'beta_0': 0.8506594095067593, 'beta_1': 0.9940633306928182, 'epsilon': 5.072040048594333e-06, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 13:00:38,186] Trial 198 finished with value: 0.6531931699904041 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 89, 'attention_heads': 12, 'hidden_dimension': 240, 'number_of_hidden_layers': 1, 'dropout_rate': 0.511764510640918, 'global_pooling': 'mean', 'learning_rate': 0.0009143061785139083, 'weight_decay': 0.00045942401347212066, 'beta_0': 0.851218636636258, 'beta_1': 0.9939460560888395, 'epsilon': 4.77034907641274e-06, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 13:24:23,568] Trial 199 finished with value: 0.6429587277952422 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 92, 'attention_heads': 12, 'hidden_dimension': 241, 'number_of_hidden_layers': 1, 'dropout_rate': 0.510894325428104, 'global_pooling': 'mean', 'learning_rate': 0.0013464542088193602, 'weight_decay': 0.0003285745351774399, 'beta_0': 0.8535160428553273, 'beta_1': 0.9936081274051072, 'epsilon': 7.6038598256491224e-06, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 13:47:03,878] Trial 200 finished with value: 0.634285807000716 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 95, 'attention_heads': 11, 'hidden_dimension': 249, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5019299753395642, 'global_pooling': 'mean', 'learning_rate': 0.0011369079067159525, 'weight_decay': 0.00037448394382323213, 'beta_0': 0.8471566350889982, 'beta_1': 0.9941504295999203, 'epsilon': 3.8921842544731285e-06, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 14:10:26,977] Trial 201 finished with value: 0.6169301246929756 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 10, 'batch_size': 91, 'attention_heads': 12, 'hidden_dimension': 253, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5229194985061034, 'global_pooling': 'mean', 'learning_rate': 0.0008685462336991377, 'weight_decay': 0.00030866648223084426, 'beta_0': 0.8553037594966293, 'beta_1': 0.9929952888316275, 'epsilon': 5.418015215024391e-06, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 14:30:50,348] Trial 202 finished with value: 0.6284530849723061 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 87, 'attention_heads': 12, 'hidden_dimension': 244, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5068576335964747, 'global_pooling': 'mean', 'learning_rate': 0.0020632440029891685, 'weight_decay': 0.00044038982206429285, 'beta_0': 0.850404703248439, 'beta_1': 0.994474415307105, 'epsilon': 3.3370451301958298e-06, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 97 with value: 0.6752887550206477.
