[I 2025-04-05 05:29:06,699] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-05 13:53:41,244] Trial 162 finished with value: 0.6472258852853261 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 86, 'attention_heads': 14, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5739647676417032, 'global_pooling': 'mean', 'learning_rate': 0.00034469397303030604, 'weight_decay': 0.0007299451096134899, 'beta_0': 0.8893969409319683, 'beta_1': 0.9960394007847694, 'epsilon': 2.0761188584931594e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 14:17:20,009] Trial 163 finished with value: 0.6387787301834278 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 96, 'attention_heads': 4, 'hidden_dimension': 226, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5516727916325704, 'global_pooling': 'mean', 'learning_rate': 0.0012239189536583078, 'weight_decay': 0.0006206890015195935, 'beta_0': 0.8814998990819, 'beta_1': 0.9965489703165031, 'epsilon': 3.4260668571415227e-06, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 15, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 14:36:47,833] Trial 164 finished with value: 0.6412696440297366 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 103, 'attention_heads': 5, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5253474646225161, 'global_pooling': 'mean', 'learning_rate': 0.00046772159531528165, 'weight_decay': 0.0008317219395694039, 'beta_0': 0.8728740960273927, 'beta_1': 0.997647779891852, 'epsilon': 1.4789218704416793e-06, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 15:02:32,330] Trial 165 finished with value: 0.6474489075612413 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 92, 'attention_heads': 13, 'hidden_dimension': 208, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5394934432235162, 'global_pooling': 'mean', 'learning_rate': 0.0005627182497207775, 'weight_decay': 0.00013554036706354543, 'beta_0': 0.898640989139858, 'beta_1': 0.981373577859357, 'epsilon': 1.718624514522217e-06, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 16, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 15:26:02,203] Trial 166 finished with value: 0.6336293305710904 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 99, 'attention_heads': 13, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5034083951247904, 'global_pooling': 'mean', 'learning_rate': 0.0007327191614739407, 'weight_decay': 0.0009917132651014382, 'beta_0': 0.8908395226169248, 'beta_1': 0.9953563846903577, 'epsilon': 2.3077866875931707e-06, 'balanced_loss': True, 'epochs': 156, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 15:49:25,789] Trial 167 finished with value: 0.6524282108137064 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 96, 'attention_heads': 14, 'hidden_dimension': 214, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5557416013942674, 'global_pooling': 'mean', 'learning_rate': 0.00040590449136288154, 'weight_decay': 0.00011804473520251119, 'beta_0': 0.886174748527491, 'beta_1': 0.9964204909935168, 'epsilon': 1.8322556128397558e-06, 'balanced_loss': True, 'epochs': 160, 'early_stopping_patience': 15, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 16:11:47,534] Trial 168 finished with value: 0.27501161472656344 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 94, 'attention_heads': 13, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5387906596185963, 'global_pooling': 'mean', 'learning_rate': 0.01692492636379667, 'weight_decay': 0.0006736205114748404, 'beta_0': 0.8860964632358398, 'beta_1': 0.9963079635149401, 'epsilon': 1.2443387045422477e-07, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 16:34:46,481] Trial 169 finished with value: 0.6298711628138612 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 101, 'attention_heads': 13, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5130969253196802, 'global_pooling': 'mean', 'learning_rate': 0.0006103264245245174, 'weight_decay': 7.357877620246776e-05, 'beta_0': 0.8314323105903512, 'beta_1': 0.99693641442096, 'epsilon': 9.514740715950174e-07, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 16:54:57,801] Trial 170 finished with value: 0.6198466117764786 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 10, 'batch_size': 90, 'attention_heads': 5, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5320755307249655, 'global_pooling': 'max', 'learning_rate': 0.0010142217856203629, 'weight_decay': 9.081236182047176e-05, 'beta_0': 0.8957746091887668, 'beta_1': 0.9957197732775588, 'epsilon': 3.384423472830208e-07, 'balanced_loss': True, 'epochs': 143, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 17:14:14,275] Trial 171 finished with value: 0.6574196070376953 and parameters: {'left_stride': 64, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5630715295513156, 'global_pooling': 'mean', 'learning_rate': 0.0005204190058807024, 'weight_decay': 0.0005478294156734302, 'beta_0': 0.8946787826781181, 'beta_1': 0.9800245510657533, 'epsilon': 2.671257358691594e-06, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
