[I 2025-04-03 10:45:09,709] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-03 18:22:15,529] Trial 102 finished with value: 0.6662410540768071 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 126, 'attention_heads': 5, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5357686912330879, 'global_pooling': 'mean', 'learning_rate': 0.0006321673447356263, 'weight_decay': 0.0008341119265362308, 'beta_0': 0.8454243147104292, 'beta_1': 0.9973142402963346, 'epsilon': 6.641519416344892e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 18:41:02,390] Trial 103 finished with value: 0.6456628616859595 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 126, 'attention_heads': 5, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5330334234976793, 'global_pooling': 'mean', 'learning_rate': 0.0006006308111020546, 'weight_decay': 0.0008138262612716304, 'beta_0': 0.8568279876710689, 'beta_1': 0.9974398763297847, 'epsilon': 2.5629803883390697e-06, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 18:59:50,280] Trial 104 finished with value: 0.6472872995793619 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 110, 'attention_heads': 5, 'hidden_dimension': 198, 'number_of_hidden_layers': 1, 'dropout_rate': 0.570419506788478, 'global_pooling': 'mean', 'learning_rate': 0.0014136807325829228, 'weight_decay': 0.000546317272010162, 'beta_0': 0.8451491667819083, 'beta_1': 0.9983300538054869, 'epsilon': 1.3766544541744829e-07, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 19:18:11,503] Trial 105 finished with value: 0.6341635784669579 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 125, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5564265969175931, 'global_pooling': 'mean', 'learning_rate': 0.0011701273156119697, 'weight_decay': 0.0007194391086042598, 'beta_0': 0.820846921424088, 'beta_1': 0.9979135043167057, 'epsilon': 6.505438734275269e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 14, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 19:36:54,953] Trial 106 finished with value: 0.6370746794256869 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 119, 'attention_heads': 6, 'hidden_dimension': 223, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5444830293164755, 'global_pooling': 'mean', 'learning_rate': 0.0010278204082159782, 'weight_decay': 0.0008913318822923236, 'beta_0': 0.8596815492779265, 'beta_1': 0.9989357726005165, 'epsilon': 2.6510373551774175e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 19:56:12,751] Trial 107 finished with value: 0.6483621689323235 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 121, 'attention_heads': 5, 'hidden_dimension': 213, 'number_of_hidden_layers': 1, 'dropout_rate': 0.531690642274598, 'global_pooling': 'mean', 'learning_rate': 0.0006817800712149575, 'weight_decay': 0.00024150314778017347, 'beta_0': 0.853304180401244, 'beta_1': 0.9971067907044527, 'epsilon': 7.391276130989284e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 20:14:27,045] Trial 108 finished with value: 0.029244574410779278 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 10, 'batch_size': 101, 'attention_heads': 4, 'hidden_dimension': 237, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5950186484192503, 'global_pooling': 'mean', 'learning_rate': 0.057248999484425134, 'weight_decay': 0.00041952301553042996, 'beta_0': 0.8490768397987497, 'beta_1': 0.9930958035218018, 'epsilon': 1.8101765565825228e-07, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 20:31:52,184] Trial 109 finished with value: 0.6428644187103852 and parameters: {'left_stride': 0, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 99, 'attention_heads': 5, 'hidden_dimension': 91, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5755757080533345, 'global_pooling': 'mean', 'learning_rate': 0.0018764159407863089, 'weight_decay': 0.0005390010410575466, 'beta_0': 0.8332697641341712, 'beta_1': 0.9923063373035105, 'epsilon': 3.467060102784935e-07, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 20:50:56,849] Trial 110 finished with value: 0.6237149230120727 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 116, 'attention_heads': 4, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5141041123082384, 'global_pooling': 'mean', 'learning_rate': 0.00038348149856263537, 'weight_decay': 0.0003133778965492865, 'beta_0': 0.8442086778502118, 'beta_1': 0.996519921004095, 'epsilon': 1.1628192300608364e-07, 'balanced_loss': True, 'epochs': 75, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 21:09:20,563] Trial 111 finished with value: 0.6312503524805774 and parameters: {'left_stride': 64, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 105, 'attention_heads': 5, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5609339361490565, 'global_pooling': 'max', 'learning_rate': 0.0005506385603035063, 'weight_decay': 0.0009937203478731726, 'beta_0': 0.8259011384675967, 'beta_1': 0.9985442792703673, 'epsilon': 1.941605177330181e-07, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 21:28:52,984] Trial 112 finished with value: 0.6260398783558083 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 42, 'attention_heads': 6, 'hidden_dimension': 223, 'number_of_hidden_layers': 1, 'dropout_rate': 0.534677394928808, 'global_pooling': 'mean', 'learning_rate': 0.0038121639154674817, 'weight_decay': 0.0006710996121393835, 'beta_0': 0.837947088646587, 'beta_1': 0.995680206937508, 'epsilon': 5.366646138835497e-06, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 21:44:13,481] Trial 113 finished with value: 0.6224902189299619 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 113, 'attention_heads': 4, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5531369566250146, 'global_pooling': 'max', 'learning_rate': 0.0023680929262278804, 'weight_decay': 0.0002842265651970271, 'beta_0': 0.8463809429222774, 'beta_1': 0.9976254846523768, 'epsilon': 7.528355411176204e-08, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 22:04:01,008] Trial 114 finished with value: 0.650167326818692 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 122, 'attention_heads': 5, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5369584575214861, 'global_pooling': 'mean', 'learning_rate': 0.0007451123379228877, 'weight_decay': 0.0002310785744538985, 'beta_0': 0.852896565990748, 'beta_1': 0.9970532753966718, 'epsilon': 6.978619037045453e-07, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
