split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,232,383,294144,8500,1224000,1518144
train,233,578,443904,14395,2072880,2516784
train,234,426,327168,9784,1408896,1736064
train,235,418,321024,8872,1277568,1598592
train,236,492,377856,12665,1823760,2201616
train,237,419,321792,9632,1387008,1708800
train,238,454,348672,10656,1534464,1883136
train,239,463,355584,10642,1532448,1888032
train,240,429,329472,10229,1472976,1802448
train,241,538,413184,13897,2001168,2414352
train,242,411,315648,9628,1386432,1702080
train,243,624,479232,15260,2197440,2676672
train,244,465,357120,11556,1664064,2021184
train,245,504,387072,12462,1794528,2181600
train,246,620,476160,17679,2545776,3021936
train,247,629,483072,16500,2376000,2859072
train,248,538,413184,15189,2187216,2600400
train,249,386,296448,8295,1194480,1490928
train,250,406,311808,9406,1354464,1666272
train,251,443,340224,10753,1548432,1888656
train,252,515,395520,13771,1983024,2378544
train,253,352,270336,7560,1088640,1358976
train,254,489,375552,12070,1738080,2113632
train,255,433,332544,10204,1469376,1801920
train,256,518,397824,12356,1779264,2177088
train,257,380,291840,8340,1200960,1492800
train,258,471,361728,11232,1617408,1979136
train,259,316,242688,6121,881424,1124112
train,260,455,349440,10232,1473408,1822848
train,261,498,382464,11645,1676880,2059344
train,262,329,252672,6732,969408,1222080
train,263,531,407808,13190,1899360,2307168
train,264,448,344064,9906,1426464,1770528
train,265,473,363264,11437,1646928,2010192
train,266,477,366336,11327,1631088,1997424
train,267,511,392448,12707,1829808,2222256
train,268,454,348672,10915,1571760,1920432
train,269,583,447744,14834,2136096,2583840
train,270,543,417024,13039,1877616,2294640
train,271,335,257280,7093,1021392,1278672
train,272,518,397824,12739,1834416,2232240
train,273,419,321792,10141,1460304,1782096
train,274,428,328704,9961,1434384,1763088
train,275,475,364800,12002,1728288,2093088
train,276,439,337152,10099,1454256,1791408
train,277,436,334848,9602,1382688,1717536
train,278,464,356352,11350,1634400,1990752
train,279,530,407040,12961,1866384,2273424
train,280,454,348672,10811,1556784,1905456
train,281,419,321792,9683,1394352,1716144
train,282,431,331008,10260,1477440,1808448
train,283,367,281856,8059,1160496,1442352
train,284,460,353280,10779,1552176,1905456
train,285,374,287232,7968,1147392,1434624
train,286,413,317184,9156,1318464,1635648
train,287,382,293376,8467,1219248,1512624
train,288,449,344832,11354,1634976,1979808
train,289,457,350976,11579,1667376,2018352
train,290,398,305664,8832,1271808,1577472
train,291,429,329472,9718,1399392,1728864
train,292,486,373248,12707,1829808,2203056
train,293,407,312576,9250,1332000,1644576
train,294,606,465408,16440,2367360,2832768
train,295,438,336384,10074,1450656,1787040
train,296,390,299520,8665,1247760,1547280
train,297,439,337152,10307,1484208,1821360
train,298,352,270336,7312,1052928,1323264
train,299,397,304896,9135,1315440,1620336
train,300,467,358656,11638,1675872,2034528
train,301,475,364800,11653,1678032,2042832
train,302,465,357120,11285,1625040,1982160
train,303,374,287232,7535,1085040,1372272
train,304,448,344064,10503,1512432,1856496
train,305,431,331008,9340,1344960,1675968
train,306,452,347136,11615,1672560,2019696
train,307,504,387072,12332,1775808,2162880
train,308,415,318720,9594,1381536,1700256
train,309,459,352512,10553,1519632,1872144
train,310,397,304896,9110,1311840,1616736
train,311,430,330240,9369,1349136,1679376
train,312,404,310272,9318,1341792,1652064
train,313,452,347136,10894,1568736,1915872
train,314,551,423168,13846,1993824,2416992
train,315,415,318720,9759,1405296,1724016
train,316,444,340992,10842,1561248,1902240
train,317,544,417792,14326,2062944,2480736
train,318,425,326400,9877,1422288,1748688
train,319,452,347136,10543,1518192,1865328
train,320,495,380160,12592,1813248,2193408
train,321,319,244992,6427,925488,1170480
train,322,462,354816,10414,1499616,1854432
train,323,394,302592,8949,1288656,1591248
train,324,474,364032,11245,1619280,1983312
train,325,436,334848,9768,1406592,1741440
train,326,491,377088,12015,1730160,2107248
train,327,404,310272,8974,1292256,1602528
train,328,471,361728,11137,1603728,1965456
train,329,440,337920,10761,1549584,1887504
train,330,561,430848,14998,2159712,2590560
train,331,599,460032,15320,2206080,2666112
train,332,558,428544,13174,1897056,2325600
train,333,533,409344,13101,1886544,2295888
train,334,480,368640,11350,1634400,2003040
train,335,471,361728,11011,1585584,1947312
train,336,448,344064,10953,1577232,1921296
train,337,429,329472,10050,1447200,1776672
train,338,444,340992,10225,1472400,1813392
train,339,509,390912,13457,1937808,2328720
train,340,614,471552,16849,2426256,2897808
train,341,414,317952,9531,1372464,1690416
train,342,419,321792,9626,1386144,1707936
train,343,450,345600,10519,1514736,1860336
train,344,466,357888,11420,1644480,2002368
train,345,491,377088,11381,1638864,2015952
train,346,361,277248,7902,1137888,1415136
train,347,500,384000,13091,1885104,2269104
train,348,536,411648,13505,1944720,2356368
train,349,397,304896,8730,1257120,1562016
train,350,458,351744,10074,1450656,1802400
train,351,410,314880,9483,1365552,1680432
train,352,715,549120,18217,2623248,3172368
train,353,421,323328,9528,1372032,1695360
train,354,380,291840,8673,1248912,1540752
train,355,556,427008,14164,2039616,2466624
train,356,472,362496,10856,1563264,1925760
train,357,355,272640,7596,1093824,1366464
train,358,449,344832,10223,1472112,1816944
train,359,478,367104,11539,1661616,2028720
train,360,459,352512,10732,1545408,1897920
train,361,424,325632,10275,1479600,1805232
train,362,447,343296,10295,1482480,1825776
train,363,525,403200,12819,1845936,2249136
train,364,640,491520,17384,2503296,2994816
train,365,501,384768,11982,1725408,2110176
train,366,371,284928,8107,1167408,1452336
train,367,484,371712,12017,1730448,2102160
train,368,397,304896,8918,1284192,1589088
train,369,398,305664,9345,1345680,1651344
train,370,688,528384,18124,2609856,3138240
train,371,443,340224,10852,1562688,1902912
train,372,534,410112,13847,1993968,2404080
train,373,429,329472,9647,1389168,1718640
train,374,499,383232,13278,1912032,2295264
train,375,384,294912,8198,1180512,1475424
train,376,425,326400,10260,1477440,1803840
train,377,549,421632,14255,2052720,2474352
train,378,493,378624,11495,1655280,2033904
train,379,507,389376,12308,1772352,2161728
train,380,495,380160,10932,1574208,1954368
train,381,412,316416,9230,1329120,1645536
train,382,564,433152,14842,2137248,2570400
train,383,461,354048,11850,1706400,2060448
train,384,440,337920,10733,1545552,1883472
train,385,583,447744,15253,2196432,2644176
train,386,537,412416,14275,2055600,2468016
train,387,539,413952,13231,1905264,2319216
train,388,462,354816,11341,1633104,1987920
train,389,488,374784,11654,1678176,2052960
train,390,505,387840,13358,1923552,2311392
train,391,391,300288,8632,1243008,1543296
train,392,415,318720,9514,1370016,1688736
train,393,537,412416,14597,2101968,2514384
train,394,519,398592,13620,1961280,2359872
train,395,347,266496,7311,1052784,1319280
train,396,437,335616,10520,1514880,1850496
train,397,481,369408,12520,1802880,2172288
train,398,398,305664,8858,1275552,1581216
train,399,546,419328,13586,1956384,2375712
train,400,414,317952,9430,1357920,1675872
train,401,481,369408,11794,1698336,2067744
train,402,430,330240,10177,1465488,1795728
train,403,409,314112,8772,1263168,1577280
train,404,317,243456,6210,894240,1137696
train,405,350,268800,7180,1033920,1302720
train,406,387,297216,8534,1228896,1526112
train,407,477,366336,12330,1775520,2141856
train,408,418,321024,9647,1389168,1710192
train,409,461,354048,10945,1576080,1930128
train,410,477,366336,11939,1719216,2085552
train,411,463,355584,10659,1534896,1890480
train,412,509,390912,12621,1817424,2208336
train,413,446,342528,10948,1576512,1919040
train,414,481,369408,11679,1681776,2051184
train,415,466,357888,11290,1625760,1983648
train,416,461,354048,11085,1596240,1950288
train,417,506,388608,12463,1794672,2183280
train,418,491,377088,11892,1712448,2089536
train,419,440,337920,9814,1413216,1751136
train,420,719,552192,18853,2714832,3267024
train,421,399,306432,8676,1249344,1555776
train,422,351,269568,7001,1008144,1277712
train,423,560,430080,15107,2175408,2605488
train,424,421,323328,9782,1408608,1731936
train,425,431,331008,9930,1429920,1760928
train,426,370,284160,8470,1219680,1503840
train,427,483,370944,11310,1628640,1999584
train,428,424,325632,9178,1321632,1647264
train,429,424,325632,9915,1427760,1753392
train,430,366,281088,8547,1230768,1511856
train,431,525,403200,12280,1768320,2171520
train,432,417,320256,9580,1379520,1699776
train,433,441,338688,10865,1564560,1903248
train,434,447,343296,10533,1516752,1860048
train,435,466,357888,11374,1637856,1995744
train,436,461,354048,10569,1521936,1875984
train,437,500,384000,13297,1914768,2298768
train,438,496,380928,11621,1673424,2054352
train,439,479,367872,12450,1792800,2160672
train,440,469,360192,10864,1564416,1924608
train,441,488,374784,12709,1830096,2204880
train,442,371,284928,8114,1168416,1453344
train,443,460,353280,11336,1632384,1985664
train,444,456,350208,11220,1615680,1965888
train,445,374,287232,8147,1173168,1460400
train,446,439,337152,10229,1472976,1810128
train,447,461,354048,11091,1597104,1951152
train,448,464,356352,12103,1742832,2099184
train,449,501,384768,12591,1813104,2197872
train,450,472,362496,11373,1637712,2000208
train,451,629,483072,16602,2390688,2873760
train,452,432,331776,9735,1401840,1733616
train,453,475,364800,11390,1640160,2004960
train,454,503,386304,12890,1856160,2242464
train,455,440,337920,9905,1426320,1764240
train,456,388,297984,8432,1214208,1512192
train,457,403,309504,8998,1295712,1605216
train,458,390,299520,9026,1299744,1599264
train,459,451,346368,10198,1468512,1814880
train,460,475,364800,11547,1662768,2027568
train,461,519,398592,12579,1811376,2209968
train,462,461,354048,10309,1484496,1838544
train,463,402,308736,9306,1340064,1648800
train,464,445,341760,10302,1483488,1825248
train,465,455,349440,10916,1571904,1921344
train,466,485,372480,11789,1697616,2070096
train,467,396,304128,9333,1343952,1648080
train,468,435,334080,10152,1461888,1795968
train,469,414,317952,9223,1328112,1646064
train,470,432,331776,10114,1456416,1788192
train,471,423,324864,9654,1390176,1715040
train,472,454,348672,10384,1495296,1843968
train,473,393,301824,9130,1314720,1616544
train,474,382,293376,8019,1154736,1448112
train,475,397,304896,8913,1283472,1588368
train,476,504,387072,11810,1700640,2087712
train,477,500,384000,13001,1872144,2256144
train,478,437,335616,10725,1544400,1880016
train,479,504,387072,12106,1743264,2130336
train,480,480,368640,11513,1657872,2026512
train,481,488,374784,11842,1705248,2080032
train,482,404,310272,8511,1225584,1535856
train,483,598,459264,16179,2329776,2789040
train,484,392,301056,8809,1268496,1569552
train,485,509,390912,12276,1767744,2158656
train,486,425,326400,10135,1459440,1785840
train,487,475,364800,12092,1741248,2106048
train,488,456,350208,10487,1510128,1860336
train,489,362,278016,7775,1119600,1397616
train,490,375,288000,7768,1118592,1406592
train,491,342,262656,7198,1036512,1299168
train,492,552,423936,13722,1975968,2399904
train,493,461,354048,10972,1579968,1934016
train,494,465,357120,10925,1573200,1930320
train,495,514,394752,13296,1914624,2309376
train,496,544,417792,14219,2047536,2465328
train,497,355,272640,7951,1144944,1417584
train,498,483,370944,11789,1697616,2068560
train,499,589,452352,15338,2208672,2661024
validation,0,523,401664,12545,1806480,2208144
validation,1,382,293376,8752,1260288,1553664
validation,2,401,307968,8809,1268496,1576464
validation,3,405,311040,8773,1263312,1574352
validation,4,398,305664,9113,1312272,1617936
validation,5,376,288768,7426,1069344,1358112
validation,6,383,294144,7871,1133424,1427568
validation,7,518,397824,12980,1869120,2266944
