[I 2024-11-28 06:11:39,081] A new study created in RDB with name: Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-Layer-wise_Aggregation
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-28 10:44:41,505] Trial 20 finished with value: 0.11660096123318539 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8916839902838027, 'batch_size': 91, 'attention_heads': 6, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4238987430369126, 'global_pooling': 'sum', 'learning_rate': 0.008838139998062877, 'weight_decay': 2.8220863013218478e-06, 'beta_0': 0.822224914622008, 'beta_1': 0.9869892531331371, 'epsilon': 1.3102346385988996e-07, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 10:56:47,061] Trial 21 finished with value: 0.48817260160271664 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8202373487602569, 'batch_size': 107, 'attention_heads': 4, 'hidden_dimension': 171, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4953868495534723, 'global_pooling': 'max', 'learning_rate': 5.131759996922853e-05, 'weight_decay': 1.011377133458066e-05, 'beta_0': 0.8505754247951693, 'beta_1': 0.9989586678939036, 'epsilon': 1.9010586333230044e-06, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 11:11:58,772] Trial 22 finished with value: 0.5629889634498386 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8004844103946398, 'batch_size': 102, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.532014883726011, 'global_pooling': 'max', 'learning_rate': 0.00020811781167840565, 'weight_decay': 4.903915343891091e-05, 'beta_0': 0.8436654760912035, 'beta_1': 0.9967699512705895, 'epsilon': 3.93309660425035e-06, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 11:22:40,664] Trial 23 finished with value: 0.5989142803882711 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8219756527459207, 'batch_size': 125, 'attention_heads': 4, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46925435211909494, 'global_pooling': 'max', 'learning_rate': 0.000945431758410047, 'weight_decay': 7.835383709214176e-06, 'beta_0': 0.8551013458018368, 'beta_1': 0.9977573596092334, 'epsilon': 8.313565430471124e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 23 with value: 0.5989142803882711.
[I 2024-11-28 11:33:39,090] Trial 24 finished with value: 0.5660257274196138 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8388437345852281, 'batch_size': 123, 'attention_heads': 7, 'hidden_dimension': 34, 'number_of_hidden_layers': 3, 'dropout_rate': 0.46739355370104946, 'global_pooling': 'max', 'learning_rate': 0.001207943187690446, 'weight_decay': 1.8474524510152672e-06, 'beta_0': 0.8565941827026226, 'beta_1': 0.9928095433448336, 'epsilon': 5.665995946672059e-07, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 23 with value: 0.5989142803882711.
[I 2024-11-28 11:44:41,595] Trial 25 finished with value: 0.6134982975981166 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8650920783791005, 'batch_size': 113, 'attention_heads': 5, 'hidden_dimension': 75, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3960594728740898, 'global_pooling': 'max', 'learning_rate': 0.0003383380043920071, 'weight_decay': 7.512673822383395e-06, 'beta_0': 0.871300256910348, 'beta_1': 0.9958666751245762, 'epsilon': 7.071156561269351e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 25 with value: 0.6134982975981166.
[I 2024-11-28 11:56:49,467] Trial 26 finished with value: 0.5368264419019034 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8730340044643164, 'batch_size': 128, 'attention_heads': 5, 'hidden_dimension': 69, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5995589723505277, 'global_pooling': 'max', 'learning_rate': 0.0003314775037822391, 'weight_decay': 3.7371564397061684e-06, 'beta_0': 0.8730734174834317, 'beta_1': 0.9971575417382385, 'epsilon': 9.301654440020758e-07, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 25 with value: 0.6134982975981166.
[I 2024-11-28 12:07:52,420] Trial 27 finished with value: 0.5651970230778557 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8577745125200452, 'batch_size': 113, 'attention_heads': 8, 'hidden_dimension': 81, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39661451006047543, 'global_pooling': 'max', 'learning_rate': 0.0014950726037754895, 'weight_decay': 1.330341978605857e-05, 'beta_0': 0.8858880736720772, 'beta_1': 0.9914639086902604, 'epsilon': 1.2973691586977102e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 25 with value: 0.6134982975981166.
[I 2024-11-28 12:20:45,820] Trial 28 finished with value: 0.5748261338635766 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9170950352699586, 'batch_size': 116, 'attention_heads': 6, 'hidden_dimension': 54, 'number_of_hidden_layers': 3, 'dropout_rate': 0.48321466706488125, 'global_pooling': 'max', 'learning_rate': 0.004692305726722545, 'weight_decay': 1.029904476432445e-06, 'beta_0': 0.8687729476617873, 'beta_1': 0.9962890735884934, 'epsilon': 1.082212089066375e-05, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 25 with value: 0.6134982975981166.
[I 2024-11-28 12:33:56,983] Trial 29 finished with value: 0.3757252331975635 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8861378650741292, 'batch_size': 87, 'attention_heads': 8, 'hidden_dimension': 113, 'number_of_hidden_layers': 1, 'dropout_rate': 0.351434685760029, 'global_pooling': 'sum', 'learning_rate': 1.9313786794040225e-05, 'weight_decay': 4.427851813579091e-06, 'beta_0': 0.8408991864408578, 'beta_1': 0.9938124752064567, 'epsilon': 2.360607474649904e-08, 'balanced_loss': True, 'epochs': 66, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 25 with value: 0.6134982975981166.
