[I 2024-12-03 05:07:08,267] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 10:26:25,751] Trial 103 finished with value: 0.6066701065436283 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8588301597815996, 'batch_size': 41, 'attention_heads': 4, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5227186993145282, 'global_pooling': 'max', 'learning_rate': 0.00029439499316953323, 'weight_decay': 2.555374270844821e-05, 'beta_0': 0.8305994414399207, 'beta_1': 0.9829176603661901, 'epsilon': 1.3126486369466688e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 10:38:39,016] Trial 104 finished with value: 0.5914191102547062 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.858371056437677, 'batch_size': 41, 'attention_heads': 4, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5182915610607634, 'global_pooling': 'max', 'learning_rate': 0.00026595577473065556, 'weight_decay': 2.5536790600623177e-05, 'beta_0': 0.8420994812851917, 'beta_1': 0.9829612507989741, 'epsilon': 1.3197972896974927e-08, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 10:50:01,000] Trial 105 finished with value: 0.6082580072325895 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8693166602373827, 'batch_size': 34, 'attention_heads': 4, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5499159013458137, 'global_pooling': 'max', 'learning_rate': 0.0003886124180209381, 'weight_decay': 1.5167009480477103e-05, 'beta_0': 0.8300844213931305, 'beta_1': 0.9823775347824081, 'epsilon': 1.4762441870795995e-08, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 11:00:56,431] Trial 106 finished with value: 0.5877160913115889 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8680332691920545, 'batch_size': 44, 'attention_heads': 4, 'hidden_dimension': 174, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5482166122732238, 'global_pooling': 'max', 'learning_rate': 0.0006407648607255973, 'weight_decay': 1.5373079651130252e-05, 'beta_0': 0.8299795469006663, 'beta_1': 0.982247266427488, 'epsilon': 1.602415522459808e-08, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 11:13:14,533] Trial 107 finished with value: 0.5950448137616382 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8468248561196114, 'batch_size': 41, 'attention_heads': 4, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.540519979273204, 'global_pooling': 'max', 'learning_rate': 0.0002895366703804774, 'weight_decay': 1.8914539646557094e-05, 'beta_0': 0.8271404266693716, 'beta_1': 0.9836959211435092, 'epsilon': 1.1716017147677117e-08, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 11:24:11,937] Trial 108 finished with value: 0.5968593584914403 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8734910529207947, 'batch_size': 47, 'attention_heads': 4, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5283276314207836, 'global_pooling': 'max', 'learning_rate': 0.0004158514583499376, 'weight_decay': 3.779214612026837e-05, 'beta_0': 0.8318387952754621, 'beta_1': 0.9844455142367657, 'epsilon': 2.03606728847741e-08, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 11:38:37,923] Trial 109 finished with value: 0.5468624675171386 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8540831434678334, 'batch_size': 39, 'attention_heads': 5, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5244593816919192, 'global_pooling': 'max', 'learning_rate': 0.00012565079559438154, 'weight_decay': 1.43941451356831e-05, 'beta_0': 0.8276842993541002, 'beta_1': 0.9817872379756806, 'epsilon': 1.0201073977436194e-08, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 11:52:05,137] Trial 110 finished with value: 0.5808647996509966 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8674220067164141, 'batch_size': 34, 'attention_heads': 5, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5334886598444551, 'global_pooling': 'max', 'learning_rate': 0.000160345383726081, 'weight_decay': 1.7062694461420838e-05, 'beta_0': 0.8378933222494711, 'beta_1': 0.9826705378374229, 'epsilon': 1.4860008102346206e-08, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 12:05:37,594] Trial 111 finished with value: 0.5742392899848879 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.84348165748744, 'batch_size': 43, 'attention_heads': 4, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5470368217312856, 'global_pooling': 'max', 'learning_rate': 0.00020694336807226243, 'weight_decay': 2.4259682202392517e-05, 'beta_0': 0.835477430328197, 'beta_1': 0.9839430920113125, 'epsilon': 2.5462139757038735e-08, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 12:17:48,485] Trial 112 finished with value: 0.5686990028624092 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8334323965865569, 'batch_size': 35, 'attention_heads': 4, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5525508049455583, 'global_pooling': 'max', 'learning_rate': 0.0003524425112457134, 'weight_decay': 3.185195112638183e-05, 'beta_0': 0.8297540606382324, 'beta_1': 0.9830510372492863, 'epsilon': 3.580782882687897e-08, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 12:30:37,808] Trial 113 finished with value: 0.6026730749422647 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8400362106630206, 'batch_size': 37, 'attention_heads': 5, 'hidden_dimension': 205, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5414472023094289, 'global_pooling': 'max', 'learning_rate': 0.00038194949049450837, 'weight_decay': 2.9730852075572668e-05, 'beta_0': 0.8448196109126486, 'beta_1': 0.9812923076405945, 'epsilon': 1.758663326060946e-08, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 12:44:19,045] Trial 114 finished with value: 0.5896938854056608 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8603528082492231, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5436851113985013, 'global_pooling': 'max', 'learning_rate': 0.00023115729832546235, 'weight_decay': 2.117687322877404e-05, 'beta_0': 0.8485001830045653, 'beta_1': 0.9820117643916493, 'epsilon': 1.7657776265983675e-08, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 12:56:13,799] Trial 115 finished with value: 0.6024450800747273 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8406468290407555, 'batch_size': 32, 'attention_heads': 4, 'hidden_dimension': 198, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5108165709674114, 'global_pooling': 'max', 'learning_rate': 0.00049169687545926, 'weight_decay': 3.785260497193048e-05, 'beta_0': 0.8460181646612496, 'beta_1': 0.982303624598196, 'epsilon': 1.3641954918674128e-08, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 13:08:21,803] Trial 116 finished with value: 0.5947182097881335 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8494228510241145, 'batch_size': 37, 'attention_heads': 5, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.538812786849083, 'global_pooling': 'max', 'learning_rate': 0.0007652540248640672, 'weight_decay': 2.4597407906895932e-05, 'beta_0': 0.8396721240779692, 'beta_1': 0.982797281894532, 'epsilon': 2.110281370476589e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 13:19:22,897] Trial 117 finished with value: 0.5935907486620767 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8559470568786692, 'batch_size': 40, 'attention_heads': 4, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5328637153153459, 'global_pooling': 'max', 'learning_rate': 0.000579461888651062, 'weight_decay': 2.9502573791206192e-05, 'beta_0': 0.8531350970121852, 'beta_1': 0.980460197209502, 'epsilon': 1.0016835910612703e-08, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 13:31:26,472] Trial 118 finished with value: 0.5914990868426863 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8873084187718135, 'batch_size': 45, 'attention_heads': 5, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5554887800993165, 'global_pooling': 'max', 'learning_rate': 0.0002962110507565902, 'weight_decay': 1.818419008257228e-05, 'beta_0': 0.8436422595639178, 'beta_1': 0.9814940874362119, 'epsilon': 1.426791393820983e-08, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
